trial_id,token_id,padding_ms,alignment_status,majority_tone_correct,word,expected_pinyin,expected_tone,speaker_id,utterance_id,duration_seconds
C070,00200720_15,0,good,1,床,chuáng,2,02007,00200720,0.4810
C071,00202114_06,0,good,1,是,shì,4,02021,00202114,0.1406
C072,00203529_10,0,good,1,就,jiù,4,02035,00203529,0.1802
C073,00203429_07,0,good,1,條,tiáo,2,02034,00203429,0.2205
C074,00202020_00,20,good,1,裡,lǐ,3,02020,00202020,0.1401
C075,00203229_08,20,good,1,短,duǎn,3,02032,00203229,0.2006
C076,00203326_08,0,good,1,館,guǎn,3,02033,00203326,0.2007
C077,00204426_03,20,good,1,夜,yè,4,02044,00204426,0.1202
C078,00202626_08,20,good,1,館,guǎn,3,02026,00202626,0.3203
C079,00204611_08,0,good,1,表,biǎo,3,02046,00204611,0.1808
C080,00203929_08,0,good,0,短,duǎn,3,02039,00203929,0.2605
C081,00201520_01,20,good,1,邊,biān,1,02015,00201520,0.3201
C082,00203529_02,20,good,1,用,yòng,4,02035,00203529,0.3204
C083,00201814_03,20,good,1,名,míng,2,02018,00201814,0.3011
C084,00202426_06,20,good,1,到,dào,4,02024,00202426,0.2805
C085,00203026_02,0,good,1,年,nián,2,02030,00203026,0.1805
C086,00203126_03,20,good,1,夜,yè,4,02031,00203126,0.1204
C087,00203229_05,20,good,1,發,fā,1,02032,00203229,0.1404
C088,00202518_01,0,good,1,月,yuè,4,02025,00202518,0.1406
C089,00202120_01,0,good,1,邊,biān,1,02021,00202120,0.3405
C090,00202014_00,20,good,1,小,xiǎo,3,02020,00202014,0.2213
C091,00202220_08,0,good,1,兩,liǎng,3,02022,00202220,0.2604
C092,00203113_02,0,good,1,熱,rè,4,02031,00203113,0.0805
C093,00201614_06,20,good,1,是,shì,4,02016,00201614,0.1606
C094,00200314_07,0,good,1,花,huā,1,02003,00200314,0.1806
C095,00203429_03,20,good,1,手,shǒu,3,02034,00203429,0.2204
C096,00202629_03,0,good,1,手,shǒu,3,02026,00202629,0.4407
C097,00201214_03,20,good,1,名,míng,2,02012,00201214,0.3011
C098,00204011_10,20,good,1,福,fú,2,02040,00204011,0.1406
C099,00201920_05,20,good,1,小,xiǎo,3,02019,00201920,0.3203
C100,00201114_01,0,good,1,貓,māo,1,02011,00201114,0.3210
C101,00200920_13,20,good,1,一,yī,1,02009,00200920,0.1202
C102,00202829_04,20,good,1,機,jī,1,02028,00202829,0.2404
C103,00204426_02,0,good,1,年,nián,2,02044,00204426,0.1806
C104,00200814_01,20,good,1,貓,māo,1,02008,00200814,0.4820
C105,00201820_08,0,good,1,兩,liǎng,3,02018,00201820,0.3004
C106,00201414_08,0,good,1,花,huā,1,02014,00201414,0.1611
C107,00202328_04,20,good,1,也,yě,3,02023,00202328,0.1403
C108,00200814_07,0,good,0,花,huā,1,02008,00200814,0.1608
C109,00200714_04,0,good,1,字,zì,4,02007,00200714,0.1004
C110,00203026_06,20,good,1,到,dào,4,02030,00203026,0.3208
C111,00204126_00,0,good,1,就,jiù,4,02041,00204126,0.2007
C112,00203829_05,20,good,1,發,fā,1,02038,00203829,0.1602
C113,00200120_15,20,good,1,床,chuáng,2,02001,00200120,0.4203
C114,00202909_03,0,good,0,屋,wū,1,02029,00202909,0.1202
C115,00204011_08,0,good,1,表,biǎo,3,02040,00204011,0.1608
C116,00200614_03,20,good,1,名,míng,2,02006,00200614,0.2612
C117,00202826_05,20,good,1,搬,bān,1,02028,00202826,0.2405
C118,00203711_11,20,good,0,到,dào,4,02037,00203711,0.2812
C119,00200914_04,0,good,1,字,zì,4,02009,00200914,0.1005
C120,00200220_03,20,good,0,一,yī,1,02002,00200220,0.1401
C121,00203529_08,20,good,1,短,duǎn,3,02035,00203529,0.3204
C122,00201520_06,20,good,0,桌,zhuō,1,02015,00201520,0.7604
C123,00200520_06,0,good,1,桌,zhuō,1,02005,00200520,0.1603
C124,00201320_08,20,good,1,兩,liǎng,3,02013,00201320,0.3203
C125,00203626_05,20,good,1,搬,bān,1,02036,00203626,0.3407
C126,00203626_07,20,good,1,餐,cān,1,02036,00203626,0.2605
C127,00201320_00,0,good,1,裡,lǐ,3,02013,00201320,0.0801
C128,00204526_02,20,good,1,年,nián,2,02045,00204526,0.2006
C129,00200414_04,20,good,1,字,zì,4,02004,00200414,0.1808
C130,00203011_10,20,good,0,福,fú,2,02030,00203011,0.1403
C131,00202729_02,0,good,1,用,yòng,4,02027,00202729,0.2001
C132,00201220_05,0,good,1,小,xiǎo,3,02012,00201220,0.2404
C133,00201620_15,0,good,1,床,chuáng,2,02016,00201620,0.3206
C134,00202518_08,20,good,1,新,xīn,1,02025,00202518,0.2207
C135,00204229_07,20,good,1,條,tiáo,2,02042,00204229,0.3006
C136,00203829_07,20,good,1,條,tiáo,2,02038,00203829,0.4006
C137,00203326_04,0,good,1,飯,fàn,4,02033,00203326,0.2208
C138,00201020_00,20,good,1,裡,lǐ,3,02010,00201020,0.1601
C139,00204311_10,20,good,1,福,fú,2,02043,00204311,0.1405
C140,00202328_02,20,good,1,拜,bài,4,02023,00202328,0.2206
C141,00202909_10,20,good,1,淨,jìng,4,02029,00202909,0.2604
C142,00200720_15,20,good,1,床,chuáng,2,02007,00200720,0.5210
C143,00202114_06,20,good,1,是,shì,4,02021,00202114,0.1806
C144,00203529_10,20,good,1,就,jiù,4,02035,00203529,0.2202
