trial_id,token_id,padding_ms,alignment_status,prior_three_level,majority_tone_correct,word,expected_pinyin,expected_tone,speaker_id,utterance_id,duration_seconds
Q067,00201220_13,60,good,GOOD,1,一,yī,1,02012,00201220,0.2001
Q068,00202328_05,40,good,QUESTIONABLE,0,變,biàn,4,02023,00202328,0.3008
Q069,00201420_00,60,good,QUESTIONABLE,0,裡,lǐ,3,02014,00201420,0.2203
Q070,00201314_01,20,good,QUESTIONABLE,0,貓,māo,1,02013,00201314,0.1810
Q071,00202320_08,40,good,GOOD,1,話,huà,4,02023,00202320,0.2206
Q072,00204011_01,40,good,QUESTIONABLE,1,一,yī,1,02040,00204011,0.1403
Q073,00202526_08,40,good,GOOD,0,館,guǎn,3,02025,00202526,0.3011
Q074,00203113_03,0,good,GOOD,1,熱,rè,4,02031,00203113,0.1005
Q075,00201520_08,60,good,WRONG,0,兩,liǎng,3,02015,00201520,0.3801
Q076,00201020_01,40,good,QUESTIONABLE,1,邊,biān,1,02010,00201020,0.3602
Q077,00204126_02,20,good,QUESTIONABLE,1,年,nián,2,02041,00204126,0.2407
Q078,00202518_10,60,good,GOOD,1,服,fú,2,02025,00202518,0.2606
Q079,00203220_06,60,good,QUESTIONABLE,0,福,fú,2,02032,00203220,0.2208
Q080,00203511_10,20,good,GOOD,0,福,fú,2,02035,00203511,0.1403
Q081,00203229_07,0,good,QUESTIONABLE,0,條,tiáo,2,02032,00203229,0.2008
Q082,00200620_01,0,good,GOOD,0,邊,biān,1,02006,00200620,0.3405
Q083,00204229_02,20,good,WRONG,1,用,yòng,4,02042,00204229,0.2404
Q084,00201820_05,40,good,QUESTIONABLE,0,小,xiǎo,3,02018,00201820,0.4204
Q085,00203026_03,40,good,GOOD,0,夜,yè,4,02030,00203026,0.1802
Q086,00202426_05,60,good,GOOD,1,搬,bān,1,02024,00202426,0.4007
Q087,00201914_08,60,good,GOOD,1,花,huā,1,02019,00201914,0.2604
Q088,00204426_09,60,good,QUESTIONABLE,1,裡,lǐ,3,02044,00204426,0.2203
Q089,00203929_05,40,good,QUESTIONABLE,0,發,fā,1,02039,00203929,0.2002
Q090,00203829_03,20,good,GOOD,1,手,shǒu,3,02038,00203829,0.2003
Q091,00202220_01,60,good,QUESTIONABLE,1,邊,biān,1,02022,00202220,0.4406
Q092,00204526_04,0,good,WRONG,0,飯,fàn,4,02045,00204526,0.2410
Q093,00203011_06,60,good,QUESTIONABLE,0,福,fú,2,02030,00203011,0.2604
Q094,00204311_11,0,good,GOOD,1,到,dào,4,02043,00204311,0.2411
Q095,00202901_03,0,good,QUESTIONABLE,1,曆,lì,4,02029,00202901,0.1205
Q096,00203126_00,60,good,QUESTIONABLE,1,就,jiù,4,02031,00203126,0.2606
Q097,00203326_07,40,good,WRONG,1,餐,cān,1,02033,00203326,0.3609
Q098,00200314_03,0,good,GOOD,1,名,míng,2,02003,00200314,0.2207
Q099,00200914_01,60,good,QUESTIONABLE,1,貓,māo,1,02009,00200914,0.3010
Q100,00202120_08,20,good,QUESTIONABLE,0,兩,liǎng,3,02021,00202120,0.3404
Q101,00203711_08,60,good,WRONG,1,表,biǎo,3,02037,00203711,0.3411
Q102,00202901_10,60,good,QUESTIONABLE,1,節,jié,2,02029,00202901,0.2806
Q103,00202901_01,60,good,QUESTIONABLE,1,國,guó,2,02029,00202901,0.2605
Q104,00203829_08,40,good,GOOD,0,短,duǎn,3,02038,00203829,0.2603
Q105,00202826_02,40,good,GOOD,1,年,nián,2,02028,00202826,0.2605
Q106,00203529_07,20,good,GOOD,0,條,tiáo,2,02035,00203529,0.3805
Q107,00201514_04,20,good,GOOD,1,字,zì,4,02015,00201514,0.1604
Q108,00200720_03,40,good,QUESTIONABLE,0,一,yī,1,02007,00200720,0.1602
Q109,00200120_00,0,good,GOOD,1,裡,lǐ,3,02001,00200120,0.1001
Q110,00201220_15,40,good,QUESTIONABLE,1,床,chuáng,2,02012,00201220,0.6008
Q111,00201220_13,40,good,GOOD,1,一,yī,1,02012,00201220,0.1601
Q112,00202328_05,60,good,QUESTIONABLE,0,變,biàn,4,02023,00202328,0.3408
Q113,00201420_00,40,good,QUESTIONABLE,0,裡,lǐ,3,02014,00201420,0.1803
Q114,00201314_01,60,good,QUESTIONABLE,0,貓,māo,1,02013,00201314,0.2610
Q115,00202320_08,20,good,GOOD,1,話,huà,4,02023,00202320,0.1806
Q116,00204011_01,0,good,QUESTIONABLE,1,一,yī,1,02040,00204011,0.0603
Q117,00202526_08,60,good,GOOD,0,館,guǎn,3,02025,00202526,0.3411
Q118,00203113_03,20,good,GOOD,1,熱,rè,4,02031,00203113,0.1405
Q119,00201520_08,40,good,WRONG,0,兩,liǎng,3,02015,00201520,0.3401
Q120,00201020_01,60,good,QUESTIONABLE,1,邊,biān,1,02010,00201020,0.4002
Q121,00204126_02,40,good,QUESTIONABLE,1,年,nián,2,02041,00204126,0.2807
Q122,00202518_10,20,good,GOOD,1,服,fú,2,02025,00202518,0.1806
Q123,00203220_06,20,good,QUESTIONABLE,0,福,fú,2,02032,00203220,0.1408
Q124,00203511_10,40,good,GOOD,0,福,fú,2,02035,00203511,0.1803
Q125,00203229_07,60,good,QUESTIONABLE,0,條,tiáo,2,02032,00203229,0.3208
Q126,00200620_01,20,good,GOOD,0,邊,biān,1,02006,00200620,0.3805
Q127,00204229_02,40,good,WRONG,1,用,yòng,4,02042,00204229,0.2804
Q128,00201820_05,20,good,QUESTIONABLE,0,小,xiǎo,3,02018,00201820,0.3804
Q129,00203026_03,0,good,GOOD,0,夜,yè,4,02030,00203026,0.1002
Q130,00202426_05,20,good,GOOD,1,搬,bān,1,02024,00202426,0.3207
Q131,00201914_08,20,good,GOOD,1,花,huā,1,02019,00201914,0.1804
Q132,00204426_09,40,good,QUESTIONABLE,1,裡,lǐ,3,02044,00204426,0.1803
Q133,00203929_05,60,good,QUESTIONABLE,0,發,fā,1,02039,00203929,0.2402
Q134,00203829_03,0,good,GOOD,1,手,shǒu,3,02038,00203829,0.1603
Q135,00202220_01,40,good,QUESTIONABLE,1,邊,biān,1,02022,00202220,0.4006
Q136,00204526_04,20,good,WRONG,0,飯,fàn,4,02045,00204526,0.2810
Q137,00203011_06,20,good,QUESTIONABLE,0,福,fú,2,02030,00203011,0.1804
Q138,00204311_11,60,good,GOOD,1,到,dào,4,02043,00204311,0.3611
Q139,00202901_03,40,good,QUESTIONABLE,1,曆,lì,4,02029,00202901,0.2005
Q140,00203126_00,0,good,QUESTIONABLE,1,就,jiù,4,02031,00203126,0.1406
Q141,00203326_07,0,good,WRONG,1,餐,cān,1,02033,00203326,0.2809
Q142,00200314_03,20,good,GOOD,1,名,míng,2,02003,00200314,0.2607
Q143,00200914_01,0,good,QUESTIONABLE,1,貓,māo,1,02009,00200914,0.1810
Q144,00202120_08,0,good,QUESTIONABLE,0,兩,liǎng,3,02021,00202120,0.3004
Q145,00203711_08,0,good,WRONG,1,表,biǎo,3,02037,00203711,0.2211
Q146,00202901_10,20,good,QUESTIONABLE,1,節,jié,2,02029,00202901,0.2006
Q147,00202901_01,40,good,QUESTIONABLE,1,國,guó,2,02029,00202901,0.2205
Q148,00203829_08,0,good,GOOD,0,短,duǎn,3,02038,00203829,0.1803
Q149,00202826_02,60,good,GOOD,1,年,nián,2,02028,00202826,0.3005
Q150,00203529_07,60,good,GOOD,0,條,tiáo,2,02035,00203529,0.4605
Q151,00201514_04,0,good,GOOD,1,字,zì,4,02015,00201514,0.1204
Q152,00200720_03,20,good,QUESTIONABLE,0,一,yī,1,02007,00200720,0.1202
Q153,00200120_00,20,good,GOOD,1,裡,lǐ,3,02001,00200120,0.1401
Q154,00201220_15,20,good,QUESTIONABLE,1,床,chuáng,2,02012,00201220,0.5608
Q155,00201220_13,20,good,GOOD,1,一,yī,1,02012,00201220,0.1201
Q156,00202328_05,20,good,QUESTIONABLE,0,變,biàn,4,02023,00202328,0.2608
Q157,00201420_00,20,good,QUESTIONABLE,0,裡,lǐ,3,02014,00201420,0.1403
Q158,00201314_01,0,good,QUESTIONABLE,0,貓,māo,1,02013,00201314,0.1410
Q159,00202320_08,60,good,GOOD,1,話,huà,4,02023,00202320,0.2606
Q160,00204011_01,60,good,QUESTIONABLE,1,一,yī,1,02040,00204011,0.1803
Q161,00202526_08,0,good,GOOD,0,館,guǎn,3,02025,00202526,0.2211
Q162,00203113_03,40,good,GOOD,1,熱,rè,4,02031,00203113,0.1805
Q163,00201520_08,0,good,WRONG,0,兩,liǎng,3,02015,00201520,0.2601
Q164,00201020_01,20,good,QUESTIONABLE,1,邊,biān,1,02010,00201020,0.3202
Q165,00204126_02,0,good,QUESTIONABLE,1,年,nián,2,02041,00204126,0.2007
Q166,00202518_10,0,good,GOOD,1,服,fú,2,02025,00202518,0.1406
Q167,00203220_06,40,good,QUESTIONABLE,0,福,fú,2,02032,00203220,0.1808
Q168,00203511_10,60,good,GOOD,0,福,fú,2,02035,00203511,0.2203
Q169,00203229_07,40,good,QUESTIONABLE,0,條,tiáo,2,02032,00203229,0.2808
Q170,00200620_01,60,good,GOOD,0,邊,biān,1,02006,00200620,0.4605
Q171,00204229_02,0,good,WRONG,1,用,yòng,4,02042,00204229,0.2004
Q172,00201820_05,0,good,QUESTIONABLE,0,小,xiǎo,3,02018,00201820,0.3404
Q173,00203026_03,60,good,GOOD,0,夜,yè,4,02030,00203026,0.2202
Q174,00202426_05,0,good,GOOD,1,搬,bān,1,02024,00202426,0.2807
Q175,00201914_08,0,good,GOOD,1,花,huā,1,02019,00201914,0.1404
Q176,00204426_09,20,good,QUESTIONABLE,1,裡,lǐ,3,02044,00204426,0.1403
