trial_id,review_id,token_id,padding_ms,original_judgment,alignment_status,majority_tone_correct,word,expected_pinyin,expected_tone,speaker_id,utterance_id,orig_start,orig_end,padded_start,padded_end,duration_seconds
P023,R009,00203326_07,20,WRONG,good,1,餐,cān,1,02033,00203326,4.0132,4.2941,3.9932,4.3141,0.3209
P024,R036,00202120_08,40,QUESTIONABLE,good,0,兩,liǎng,3,02021,00202120,3.6453,3.9457,3.6053,3.9857,0.3804
P025,R027,00202328_05,0,QUESTIONABLE,good,0,變,biàn,4,02023,00202328,4.3344,4.5552,4.3344,4.5552,0.2208
P026,R064,00204311_11,0,GOOD,good,1,到,dào,4,02043,00204311,3.5574,3.7985,3.5574,3.7985,0.2411
P027,R029,00203511_10,40,GOOD,good,0,福,fú,2,02035,00203511,5.6767,5.7770,5.6367,5.8170,0.1803
P028,R028,00201220_13,60,GOOD,good,1,一,yī,1,02012,00201220,9.8567,9.9368,9.7967,9.9968,0.2001
P029,R012,00202426_05,60,GOOD,good,1,搬,bān,1,02024,00202426,4.0093,4.2900,3.9493,4.3500,0.4007
P030,R067,00200620_01,20,GOOD,good,0,邊,biān,1,02006,00200620,0.7412,1.0817,0.7212,1.1017,0.3805
P031,R018,00201020_01,0,QUESTIONABLE,good,1,邊,biān,1,02010,00201020,1.1210,1.4012,1.1210,1.4012,0.2802
P032,R013,00202901_10,60,QUESTIONABLE,good,1,節,jié,2,02029,00202901,5.0182,5.1788,4.9582,5.2388,0.2806
P033,R019,00203220_06,0,QUESTIONABLE,good,0,福,fú,2,02032,00203220,2.0149,2.1157,2.0149,2.1157,0.1008
P034,R039,00201914_08,60,GOOD,good,1,花,huā,1,02019,00201914,4.4126,4.5530,4.3526,4.6130,0.2604
P035,R041,00202518_10,40,GOOD,good,1,服,fú,2,02025,00202518,4.7988,4.9394,4.7588,4.9794,0.2206
P036,R049,00200120_00,60,GOOD,good,1,裡,lǐ,3,02001,00200120,0.7405,0.8406,0.6805,0.9006,0.2201
P037,R048,00202220_01,40,QUESTIONABLE,good,1,邊,biān,1,02022,00202220,0.6410,0.9616,0.6010,1.0016,0.4006
P038,R045,00203829_03,60,GOOD,good,1,手,shǒu,3,02038,00203829,4.3879,4.5482,4.3279,4.6082,0.2803
P039,R062,00202901_01,60,QUESTIONABLE,good,1,國,guó,2,02029,00202901,1.0237,1.1642,0.9637,1.2242,0.2605
P040,R008,00202901_03,40,QUESTIONABLE,good,1,曆,lì,4,02029,00202901,2.5693,2.6898,2.5293,2.7298,0.2005
P041,R026,00204011_01,40,QUESTIONABLE,good,1,一,yī,1,02040,00204011,0.3418,0.4021,0.3018,0.4421,0.1403
P042,R037,00203011_06,40,QUESTIONABLE,good,0,福,fú,2,02030,00203011,3.3890,3.5294,3.3490,3.5694,0.2204
P043,R031,00203126_00,60,QUESTIONABLE,good,1,就,jiù,4,02031,00203126,1.4060,1.5466,1.3460,1.6066,0.2606
P044,R032,00201220_15,0,QUESTIONABLE,good,1,床,chuáng,2,02012,00201220,10.4778,10.9986,10.4778,10.9986,0.5208
P045,R043,00204126_02,20,QUESTIONABLE,good,1,年,nián,2,02041,00204126,1.7057,1.9064,1.6857,1.9264,0.2407
P046,R060,00203529_07,60,GOOD,good,0,條,tiáo,2,02035,00203529,4.1459,4.4864,4.0859,4.5464,0.4605
P047,R024,00201314_01,20,QUESTIONABLE,good,0,貓,māo,1,02013,00201314,0.6644,0.8054,0.6444,0.8254,0.1810
P048,R046,00204426_09,40,QUESTIONABLE,good,1,裡,lǐ,3,02044,00204426,5.1168,5.2171,5.0768,5.2571,0.1803
P049,R007,00200914_01,20,QUESTIONABLE,good,1,貓,māo,1,02009,00200914,0.6837,0.8647,0.6637,0.8847,0.2210
P050,R038,00203929_05,60,QUESTIONABLE,good,0,發,fā,1,02039,00203929,3.5872,3.7074,3.5272,3.7674,0.2402
P051,R052,00203026_03,60,GOOD,good,0,夜,yè,4,02030,00203026,0.7421,0.8423,0.6821,0.9023,0.2202
P052,R006,00201514_04,60,GOOD,good,1,字,zì,4,02015,00201514,2.5286,2.6490,2.4686,2.7090,0.2404
P053,R034,00203711_08,20,WRONG,good,1,表,biǎo,3,02037,00203711,2.6124,2.8335,2.5924,2.8535,0.2611
P054,R016,00203113_03,0,GOOD,good,1,熱,rè,4,02031,00203113,0.9052,1.0057,0.9052,1.0057,0.1005
P055,R003,00200314_03,0,GOOD,good,1,名,míng,2,02003,00200314,2.0467,2.2674,2.0467,2.2674,0.2207
P056,R022,00203829_08,0,GOOD,good,0,短,duǎn,3,02038,00203829,7.4534,7.6337,7.4534,7.6337,0.1803
P057,R005,00201520_08,20,WRONG,good,0,兩,liǎng,3,02015,00201520,6.5637,6.8238,6.5437,6.8438,0.3001
P058,R042,00201820_05,20,QUESTIONABLE,good,0,小,xiǎo,3,02018,00201820,2.9639,3.3043,2.9439,3.3243,0.3804
P059,R030,00202320_08,60,GOOD,good,1,話,huà,4,02023,00202320,4.4582,4.5988,4.3982,4.6588,0.2606
P060,R047,00202526_08,0,GOOD,good,0,館,guǎn,3,02025,00202526,2.9738,3.1949,2.9738,3.1949,0.2211
P061,R035,00200720_03,20,QUESTIONABLE,good,0,一,yī,1,02007,00200720,1.9241,2.0043,1.9041,2.0243,0.1202
P062,R044,00203229_07,0,QUESTIONABLE,good,0,條,tiáo,2,02032,00203229,2.8512,3.0520,2.8512,3.0520,0.2008
P063,R033,00204229_02,40,WRONG,good,1,用,yòng,4,02042,00204229,1.6838,1.8842,1.6438,1.9242,0.2804
P064,R053,00201420_00,60,QUESTIONABLE,good,0,裡,lǐ,3,02014,00201420,0.9019,1.0022,0.8419,1.0622,0.2203
P065,R023,00204526_04,20,WRONG,good,0,飯,fàn,4,02045,00204526,1.3855,1.6265,1.3655,1.6465,0.2810
P066,R002,00202826_02,20,GOOD,good,1,年,nián,2,02028,00202826,2.0252,2.2057,2.0052,2.2257,0.2205
P067,R009,00203326_07,60,WRONG,good,1,餐,cān,1,02033,00203326,4.0132,4.2941,3.9532,4.3541,0.4009
P068,R036,00202120_08,20,QUESTIONABLE,good,0,兩,liǎng,3,02021,00202120,3.6453,3.9457,3.6253,3.9657,0.3404
P069,R027,00202328_05,60,QUESTIONABLE,good,0,變,biàn,4,02023,00202328,4.3344,4.5552,4.2744,4.6152,0.3408
P070,R064,00204311_11,40,GOOD,good,1,到,dào,4,02043,00204311,3.5574,3.7985,3.5174,3.8385,0.3211
P071,R029,00203511_10,0,GOOD,good,0,福,fú,2,02035,00203511,5.6767,5.7770,5.6767,5.7770,0.1003
P072,R028,00201220_13,20,GOOD,good,1,一,yī,1,02012,00201220,9.8567,9.9368,9.8367,9.9568,0.1201
P073,R012,00202426_05,40,GOOD,good,1,搬,bān,1,02024,00202426,4.0093,4.2900,3.9693,4.3300,0.3607
P074,R067,00200620_01,0,GOOD,good,0,邊,biān,1,02006,00200620,0.7412,1.0817,0.7412,1.0817,0.3405
P075,R018,00201020_01,20,QUESTIONABLE,good,1,邊,biān,1,02010,00201020,1.1210,1.4012,1.1010,1.4212,0.3202
P076,R013,00202901_10,20,QUESTIONABLE,good,1,節,jié,2,02029,00202901,5.0182,5.1788,4.9982,5.1988,0.2006
P077,R019,00203220_06,60,QUESTIONABLE,good,0,福,fú,2,02032,00203220,2.0149,2.1157,1.9549,2.1757,0.2208
P078,R039,00201914_08,20,GOOD,good,1,花,huā,1,02019,00201914,4.4126,4.5530,4.3926,4.5730,0.1804
P079,R041,00202518_10,0,GOOD,good,1,服,fú,2,02025,00202518,4.7988,4.9394,4.7988,4.9394,0.1406
P080,R049,00200120_00,20,GOOD,good,1,裡,lǐ,3,02001,00200120,0.7405,0.8406,0.7205,0.8606,0.1401
P081,R048,00202220_01,0,QUESTIONABLE,good,1,邊,biān,1,02022,00202220,0.6410,0.9616,0.6410,0.9616,0.3206
P082,R045,00203829_03,0,GOOD,good,1,手,shǒu,3,02038,00203829,4.3879,4.5482,4.3879,4.5482,0.1603
P083,R062,00202901_01,20,QUESTIONABLE,good,1,國,guó,2,02029,00202901,1.0237,1.1642,1.0037,1.1842,0.1805
P084,R008,00202901_03,0,QUESTIONABLE,good,1,曆,lì,4,02029,00202901,2.5693,2.6898,2.5693,2.6898,0.1205
P085,R026,00204011_01,60,QUESTIONABLE,good,1,一,yī,1,02040,00204011,0.3418,0.4021,0.2818,0.4621,0.1803
P086,R037,00203011_06,60,QUESTIONABLE,good,0,福,fú,2,02030,00203011,3.3890,3.5294,3.3290,3.5894,0.2604
P087,R031,00203126_00,0,QUESTIONABLE,good,1,就,jiù,4,02031,00203126,1.4060,1.5466,1.4060,1.5466,0.1406
P088,R032,00201220_15,60,QUESTIONABLE,good,1,床,chuáng,2,02012,00201220,10.4778,10.9986,10.4178,11.0586,0.6408
P089,R043,00204126_02,0,QUESTIONABLE,good,1,年,nián,2,02041,00204126,1.7057,1.9064,1.7057,1.9064,0.2007
P090,R060,00203529_07,20,GOOD,good,0,條,tiáo,2,02035,00203529,4.1459,4.4864,4.1259,4.5064,0.3805
P091,R024,00201314_01,0,QUESTIONABLE,good,0,貓,māo,1,02013,00201314,0.6644,0.8054,0.6644,0.8054,0.1410
P092,R046,00204426_09,0,QUESTIONABLE,good,1,裡,lǐ,3,02044,00204426,5.1168,5.2171,5.1168,5.2171,0.1003
P093,R007,00200914_01,40,QUESTIONABLE,good,1,貓,māo,1,02009,00200914,0.6837,0.8647,0.6437,0.9047,0.2610
P094,R038,00203929_05,40,QUESTIONABLE,good,0,發,fā,1,02039,00203929,3.5872,3.7074,3.5472,3.7474,0.2002
P095,R052,00203026_03,0,GOOD,good,0,夜,yè,4,02030,00203026,0.7421,0.8423,0.7421,0.8423,0.1002
P096,R006,00201514_04,20,GOOD,good,1,字,zì,4,02015,00201514,2.5286,2.6490,2.5086,2.6690,0.1604
P097,R034,00203711_08,40,WRONG,good,1,表,biǎo,3,02037,00203711,2.6124,2.8335,2.5724,2.8735,0.3011
P098,R016,00203113_03,20,GOOD,good,1,熱,rè,4,02031,00203113,0.9052,1.0057,0.8852,1.0257,0.1405
P099,R003,00200314_03,20,GOOD,good,1,名,míng,2,02003,00200314,2.0467,2.2674,2.0267,2.2874,0.2607
P100,R022,00203829_08,60,GOOD,good,0,短,duǎn,3,02038,00203829,7.4534,7.6337,7.3934,7.6937,0.3003
P101,R005,00201520_08,0,WRONG,good,0,兩,liǎng,3,02015,00201520,6.5637,6.8238,6.5637,6.8238,0.2601
P102,R042,00201820_05,60,QUESTIONABLE,good,0,小,xiǎo,3,02018,00201820,2.9639,3.3043,2.9039,3.3643,0.4604
P103,R030,00202320_08,40,GOOD,good,1,話,huà,4,02023,00202320,4.4582,4.5988,4.4182,4.6388,0.2206
P104,R047,00202526_08,40,GOOD,good,0,館,guǎn,3,02025,00202526,2.9738,3.1949,2.9338,3.2349,0.3011
P105,R035,00200720_03,60,QUESTIONABLE,good,0,一,yī,1,02007,00200720,1.9241,2.0043,1.8641,2.0643,0.2002
P106,R044,00203229_07,60,QUESTIONABLE,good,0,條,tiáo,2,02032,00203229,2.8512,3.0520,2.7912,3.1120,0.3208
P107,R033,00204229_02,60,WRONG,good,1,用,yòng,4,02042,00204229,1.6838,1.8842,1.6238,1.9442,0.3204
P108,R053,00201420_00,0,QUESTIONABLE,good,0,裡,lǐ,3,02014,00201420,0.9019,1.0022,0.9019,1.0022,0.1003
P109,R023,00204526_04,40,WRONG,good,0,飯,fàn,4,02045,00204526,1.3855,1.6265,1.3455,1.6665,0.3210
P110,R002,00202826_02,0,GOOD,good,1,年,nián,2,02028,00202826,2.0252,2.2057,2.0252,2.2057,0.1805
P111,R009,00203326_07,40,WRONG,good,1,餐,cān,1,02033,00203326,4.0132,4.2941,3.9732,4.3341,0.3609
P112,R036,00202120_08,60,QUESTIONABLE,good,0,兩,liǎng,3,02021,00202120,3.6453,3.9457,3.5853,4.0057,0.4204
P113,R027,00202328_05,20,QUESTIONABLE,good,0,變,biàn,4,02023,00202328,4.3344,4.5552,4.3144,4.5752,0.2608
P114,R064,00204311_11,60,GOOD,good,1,到,dào,4,02043,00204311,3.5574,3.7985,3.4974,3.8585,0.3611
P115,R029,00203511_10,20,GOOD,good,0,福,fú,2,02035,00203511,5.6767,5.7770,5.6567,5.7970,0.1403
P116,R028,00201220_13,0,GOOD,good,1,一,yī,1,02012,00201220,9.8567,9.9368,9.8567,9.9368,0.0801
P117,R012,00202426_05,0,GOOD,good,1,搬,bān,1,02024,00202426,4.0093,4.2900,4.0093,4.2900,0.2807
P118,R067,00200620_01,40,GOOD,good,0,邊,biān,1,02006,00200620,0.7412,1.0817,0.7012,1.1217,0.4205
P119,R018,00201020_01,60,QUESTIONABLE,good,1,邊,biān,1,02010,00201020,1.1210,1.4012,1.0610,1.4612,0.4002
P120,R013,00202901_10,40,QUESTIONABLE,good,1,節,jié,2,02029,00202901,5.0182,5.1788,4.9782,5.2188,0.2406
P121,R019,00203220_06,20,QUESTIONABLE,good,0,福,fú,2,02032,00203220,2.0149,2.1157,1.9949,2.1357,0.1408
P122,R039,00201914_08,0,GOOD,good,1,花,huā,1,02019,00201914,4.4126,4.5530,4.4126,4.5530,0.1404
P123,R041,00202518_10,60,GOOD,good,1,服,fú,2,02025,00202518,4.7988,4.9394,4.7388,4.9994,0.2606
P124,R049,00200120_00,0,GOOD,good,1,裡,lǐ,3,02001,00200120,0.7405,0.8406,0.7405,0.8406,0.1001
P125,R048,00202220_01,60,QUESTIONABLE,good,1,邊,biān,1,02022,00202220,0.6410,0.9616,0.5810,1.0216,0.4406
P126,R045,00203829_03,20,GOOD,good,1,手,shǒu,3,02038,00203829,4.3879,4.5482,4.3679,4.5682,0.2003
P127,R062,00202901_01,0,QUESTIONABLE,good,1,國,guó,2,02029,00202901,1.0237,1.1642,1.0237,1.1642,0.1405
P128,R008,00202901_03,60,QUESTIONABLE,good,1,曆,lì,4,02029,00202901,2.5693,2.6898,2.5093,2.7498,0.2405
P129,R026,00204011_01,20,QUESTIONABLE,good,1,一,yī,1,02040,00204011,0.3418,0.4021,0.3218,0.4221,0.1003
P130,R037,00203011_06,0,QUESTIONABLE,good,0,福,fú,2,02030,00203011,3.3890,3.5294,3.3890,3.5294,0.1404
P131,R031,00203126_00,20,QUESTIONABLE,good,1,就,jiù,4,02031,00203126,1.4060,1.5466,1.3860,1.5666,0.1806
P132,R032,00201220_15,40,QUESTIONABLE,good,1,床,chuáng,2,02012,00201220,10.4778,10.9986,10.4378,11.0386,0.6008
P133,R043,00204126_02,40,QUESTIONABLE,good,1,年,nián,2,02041,00204126,1.7057,1.9064,1.6657,1.9464,0.2807
P134,R060,00203529_07,40,GOOD,good,0,條,tiáo,2,02035,00203529,4.1459,4.4864,4.1059,4.5264,0.4205
P135,R024,00201314_01,60,QUESTIONABLE,good,0,貓,māo,1,02013,00201314,0.6644,0.8054,0.6044,0.8654,0.2610
P136,R046,00204426_09,20,QUESTIONABLE,good,1,裡,lǐ,3,02044,00204426,5.1168,5.2171,5.0968,5.2371,0.1403
P137,R007,00200914_01,60,QUESTIONABLE,good,1,貓,māo,1,02009,00200914,0.6837,0.8647,0.6237,0.9247,0.3010
P138,R038,00203929_05,20,QUESTIONABLE,good,0,發,fā,1,02039,00203929,3.5872,3.7074,3.5672,3.7274,0.1602
P139,R052,00203026_03,20,GOOD,good,0,夜,yè,4,02030,00203026,0.7421,0.8423,0.7221,0.8623,0.1402
P140,R006,00201514_04,0,GOOD,good,1,字,zì,4,02015,00201514,2.5286,2.6490,2.5286,2.6490,0.1204
P141,R034,00203711_08,60,WRONG,good,1,表,biǎo,3,02037,00203711,2.6124,2.8335,2.5524,2.8935,0.3411
P142,R016,00203113_03,40,GOOD,good,1,熱,rè,4,02031,00203113,0.9052,1.0057,0.8652,1.0457,0.1805
P143,R003,00200314_03,60,GOOD,good,1,名,míng,2,02003,00200314,2.0467,2.2674,1.9867,2.3274,0.3407
P144,R022,00203829_08,40,GOOD,good,0,短,duǎn,3,02038,00203829,7.4534,7.6337,7.4134,7.6737,0.2603
P145,R005,00201520_08,40,WRONG,good,0,兩,liǎng,3,02015,00201520,6.5637,6.8238,6.5237,6.8638,0.3401
P146,R042,00201820_05,0,QUESTIONABLE,good,0,小,xiǎo,3,02018,00201820,2.9639,3.3043,2.9639,3.3043,0.3404
P147,R030,00202320_08,20,GOOD,good,1,話,huà,4,02023,00202320,4.4582,4.5988,4.4382,4.6188,0.1806
P148,R047,00202526_08,60,GOOD,good,0,館,guǎn,3,02025,00202526,2.9738,3.1949,2.9138,3.2549,0.3411
P149,R035,00200720_03,0,QUESTIONABLE,good,0,一,yī,1,02007,00200720,1.9241,2.0043,1.9241,2.0043,0.0802
P150,R044,00203229_07,40,QUESTIONABLE,good,0,條,tiáo,2,02032,00203229,2.8512,3.0520,2.8112,3.0920,0.2808
P151,R033,00204229_02,0,WRONG,good,1,用,yòng,4,02042,00204229,1.6838,1.8842,1.6838,1.8842,0.2004
P152,R053,00201420_00,40,QUESTIONABLE,good,0,裡,lǐ,3,02014,00201420,0.9019,1.0022,0.8619,1.0422,0.1803
P153,R023,00204526_04,0,WRONG,good,0,飯,fàn,4,02045,00204526,1.3855,1.6265,1.3855,1.6265,0.2410
P154,R002,00202826_02,60,GOOD,good,1,年,nián,2,02028,00202826,2.0252,2.2057,1.9652,2.2657,0.3005
P155,R009,00203326_07,0,WRONG,good,1,餐,cān,1,02033,00203326,4.0132,4.2941,4.0132,4.2941,0.2809
P156,R036,00202120_08,0,QUESTIONABLE,good,0,兩,liǎng,3,02021,00202120,3.6453,3.9457,3.6453,3.9457,0.3004
P157,R027,00202328_05,40,QUESTIONABLE,good,0,變,biàn,4,02023,00202328,4.3344,4.5552,4.2944,4.5952,0.3008
P158,R064,00204311_11,20,GOOD,good,1,到,dào,4,02043,00204311,3.5574,3.7985,3.5374,3.8185,0.2811
P159,R029,00203511_10,60,GOOD,good,0,福,fú,2,02035,00203511,5.6767,5.7770,5.6167,5.8370,0.2203
P160,R028,00201220_13,40,GOOD,good,1,一,yī,1,02012,00201220,9.8567,9.9368,9.8167,9.9768,0.1601
P161,R012,00202426_05,20,GOOD,good,1,搬,bān,1,02024,00202426,4.0093,4.2900,3.9893,4.3100,0.3207
P162,R067,00200620_01,60,GOOD,good,0,邊,biān,1,02006,00200620,0.7412,1.0817,0.6812,1.1417,0.4605
P163,R018,00201020_01,40,QUESTIONABLE,good,1,邊,biān,1,02010,00201020,1.1210,1.4012,1.0810,1.4412,0.3602
P164,R013,00202901_10,0,QUESTIONABLE,good,1,節,jié,2,02029,00202901,5.0182,5.1788,5.0182,5.1788,0.1606
P165,R019,00203220_06,40,QUESTIONABLE,good,0,福,fú,2,02032,00203220,2.0149,2.1157,1.9749,2.1557,0.1808
P166,R039,00201914_08,40,GOOD,good,1,花,huā,1,02019,00201914,4.4126,4.5530,4.3726,4.5930,0.2204
P167,R041,00202518_10,20,GOOD,good,1,服,fú,2,02025,00202518,4.7988,4.9394,4.7788,4.9594,0.1806
P168,R049,00200120_00,40,GOOD,good,1,裡,lǐ,3,02001,00200120,0.7405,0.8406,0.7005,0.8806,0.1801
P169,R048,00202220_01,20,QUESTIONABLE,good,1,邊,biān,1,02022,00202220,0.6410,0.9616,0.6210,0.9816,0.3606
P170,R045,00203829_03,40,GOOD,good,1,手,shǒu,3,02038,00203829,4.3879,4.5482,4.3479,4.5882,0.2403
P171,R062,00202901_01,40,QUESTIONABLE,good,1,國,guó,2,02029,00202901,1.0237,1.1642,0.9837,1.2042,0.2205
P172,R008,00202901_03,20,QUESTIONABLE,good,1,曆,lì,4,02029,00202901,2.5693,2.6898,2.5493,2.7098,0.1605
P173,R026,00204011_01,0,QUESTIONABLE,good,1,一,yī,1,02040,00204011,0.3418,0.4021,0.3418,0.4021,0.0603
P174,R037,00203011_06,20,QUESTIONABLE,good,0,福,fú,2,02030,00203011,3.3890,3.5294,3.3690,3.5494,0.1804
P175,R031,00203126_00,40,QUESTIONABLE,good,1,就,jiù,4,02031,00203126,1.4060,1.5466,1.3660,1.5866,0.2206
P176,R032,00201220_15,20,QUESTIONABLE,good,1,床,chuáng,2,02012,00201220,10.4778,10.9986,10.4578,11.0186,0.5608
