trial_id,token_id,is_repeat,rms_relative_db,local_snr_db,alignment_score,duration_seconds,voiced_proportion,alignment_status,word,expected_pinyin,expected_tone,initial_class,speaker_id,utterance_id,majority_tone_correct
Q017,00203113_08,1,3.0687,27.6258,0.7580,0.1408,1.000,good,年,nián,2,sonorant_or_zero,02031,00203113,1
Q018,00201320_01,0,6.3852,30.4522,0.9865,0.1601,1.000,good,邊,biān,1,unaspirated_obstruent,02013,00201320,0
Q019,00203529_03,0,0.1612,26.0973,0.9749,0.2403,0.641,good,手,shǒu,3,fricative,02035,00203529,1
Q020,00203126_07,0,-2.2826,24.2903,0.8657,0.1607,0.565,good,餐,cān,1,aspirated_obstruent,02031,00203126,0
Q021,00203126_08,0,2.3416,28.9145,0.9794,0.1607,1.000,good,館,guǎn,3,unaspirated_obstruent,02031,00203126,0
Q022,00203311_08,0,2.6184,27.1314,0.9902,0.2208,1.000,good,表,biǎo,3,unaspirated_obstruent,02033,00203311,1
Q023,00204126_04,0,-0.0824,31.3757,0.9967,0.2609,0.674,good,飯,fàn,4,fricative,02041,00204126,1
Q024,00201420_05,0,1.7242,32.1549,0.9942,0.1804,0.593,good,小,xiǎo,3,fricative,02014,00201420,1
Q025,00203011_08,0,6.7491,40.4803,0.9917,0.2005,0.935,good,表,biǎo,3,unaspirated_obstruent,02030,00203011,1
Q026,00203929_07,0,2.5289,35.7145,0.7405,0.2605,0.372,good,條,tiáo,2,aspirated_obstruent,02039,00203929,1
Q027,00202114_07,0,1.5008,24.1355,0.9841,0.1205,0.800,good,花,huā,1,fricative,02021,00202114,0
Q028,00202014_04,0,0.9708,23.7113,0.4594,0.0806,1.000,good,字,zì,4,unaspirated_obstruent,02020,00202014,1
Q029,00200820_08,0,4.5233,40.3540,0.6741,0.3807,1.000,good,兩,liǎng,3,sonorant_or_zero,02008,00200820,1
Q030,00203311_06,0,-5.0603,19.5253,0.9907,0.1405,0.368,good,福,fú,2,fricative,02033,00203311,1
Q031,00202320_06,1,-7.8596,18.7878,0.5130,0.1807,0.704,good,福,fú,2,fricative,02023,00202320,1
Q032,00201520_05,0,5.5674,44.9518,0.9885,0.2802,0.809,good,小,xiǎo,3,fricative,02015,00201520,0
Q033,00200314_06,0,1.4957,27.9483,0.9573,0.1405,0.526,good,是,shì,4,fricative,02003,00200314,1
Q034,00204011_11,1,10.4543,35.5558,0.7526,0.1810,1.000,good,到,dào,4,unaspirated_obstruent,02040,00204011,1
Q035,00200714_00,0,-1.9887,26.9688,0.9956,0.2609,0.605,good,小,xiǎo,3,fricative,02007,00200714,1
Q036,00200620_05,0,8.3590,30.0199,0.9931,0.2604,0.791,good,小,xiǎo,3,fricative,02006,00200620,0
Q037,00200720_08,0,-3.2924,29.5544,0.7557,0.3006,0.843,good,兩,liǎng,3,sonorant_or_zero,02007,00200720,1
Q038,00201914_03,0,1.6137,16.3209,0.8222,0.1605,1.000,good,名,míng,2,sonorant_or_zero,02019,00201914,1
Q039,00203626_02,0,0.7997,28.8580,0.9402,0.2606,1.000,good,年,nián,2,sonorant_or_zero,02036,00203626,1
Q040,00200414_08,0,0.1023,20.4196,0.9946,0.1608,1.000,good,花,huā,1,fricative,02004,00200414,1
Q041,00201020_15,0,1.1302,35.8729,0.8547,0.5204,0.632,good,床,chuáng,2,aspirated_obstruent,02010,00201020,1
Q042,00202629_05,0,1.1528,30.5735,0.5817,0.1402,0.474,good,發,fā,1,fricative,02026,00202629,1
Q043,00201214_04,0,-7.2756,19.3326,0.5721,0.1004,0.818,good,字,zì,4,unaspirated_obstruent,02012,00201214,1
Q044,00204311_08,0,2.9181,27.5010,0.9842,0.2211,0.829,good,表,biǎo,3,unaspirated_obstruent,02043,00204311,1
Q045,00200120_06,0,7.7928,36.0393,0.8069,0.1201,0.800,good,桌,zhuō,1,unaspirated_obstruent,02001,00200120,1
Q046,00202829_03,0,0.3967,29.2951,0.9549,0.1803,0.556,good,手,shǒu,3,fricative,02028,00202829,1
Q047,00201614_03,0,-5.5486,21.5768,0.8233,0.2010,1.000,good,名,míng,2,sonorant_or_zero,02016,00201614,1
Q048,00201820_15,0,-2.9114,27.5058,0.6540,0.4205,0.613,good,床,chuáng,2,aspirated_obstruent,02018,00201820,1
Q049,00201820_03,0,-2.2158,28.2014,0.6730,0.1001,1.000,good,一,yī,1,sonorant_or_zero,02018,00201820,0
Q050,00202220_15,0,2.8769,26.2637,0.8961,0.4407,0.747,good,床,chuáng,2,aspirated_obstruent,02022,00202220,1
Q051,00202526_03,0,3.2886,24.4016,0.9938,0.0804,1.000,good,夜,yè,4,sonorant_or_zero,02025,00202526,1
Q052,00200114_06,0,-0.5600,27.6771,0.9843,0.1607,0.478,good,是,shì,4,fricative,02001,00200114,1
Q053,00203529_04,1,-0.6302,25.3059,0.9268,0.1602,0.391,good,機,jī,1,unaspirated_obstruent,02035,00203529,1
Q054,00203429_08,0,-1.9282,19.9563,0.9964,0.2005,0.935,good,短,duǎn,3,unaspirated_obstruent,02034,00203429,1
Q055,00204426_08,0,5.4927,37.7785,0.9941,0.1605,1.000,good,館,guǎn,3,unaspirated_obstruent,02044,00204426,1
Q056,00202020_15,0,-1.1789,31.1067,0.8908,0.3203,0.691,good,床,chuáng,2,aspirated_obstruent,02020,00202020,1
Q057,00200820_08,1,4.5233,40.3540,0.6741,0.3807,1.000,good,兩,liǎng,3,sonorant_or_zero,02008,00200820,1
Q058,00200914_03,0,2.4110,19.9769,0.5346,0.1810,0.407,good,名,míng,2,sonorant_or_zero,02009,00200914,1
Q059,00202829_05,0,2.9892,30.6988,0.9854,0.1202,0.400,good,發,fā,1,fricative,02028,00202829,1
Q060,00200314_06,1,1.4957,27.9483,0.9573,0.1405,0.526,good,是,shì,4,fricative,02003,00200314,1
Q061,00200820_00,0,1.4473,37.2781,0.8337,0.1403,1.000,good,裡,lǐ,3,sonorant_or_zero,02008,00200820,1
Q062,00202526_07,0,0.8987,22.0117,0.7197,0.2612,0.581,good,餐,cān,1,aspirated_obstruent,02025,00202526,1
Q063,00203113_08,0,3.0687,27.6258,0.7580,0.1408,1.000,good,年,nián,2,sonorant_or_zero,02031,00203113,1
Q064,00202826_03,0,5.9342,35.3002,0.4645,0.0802,1.000,good,夜,yè,4,sonorant_or_zero,02028,00202826,0
Q065,00201014_06,0,0.5271,26.9371,0.9043,0.1406,0.421,good,是,shì,4,fricative,02010,00201014,1
Q066,00203626_02,1,0.7997,28.8580,0.9402,0.2606,1.000,good,年,nián,2,sonorant_or_zero,02036,00203626,1
Q067,00204229_10,0,2.8378,28.8636,0.8054,0.1804,0.667,good,就,jiù,4,unaspirated_obstruent,02042,00204229,1
Q068,00200220_08,0,0.8054,34.3378,0.6872,0.2402,1.000,good,兩,liǎng,3,sonorant_or_zero,02002,00200220,1
Q069,00203929_02,0,3.6875,36.8731,0.4993,0.2605,0.907,good,用,yòng,4,sonorant_or_zero,02039,00203929,0
Q070,00202426_03,0,3.4021,30.9013,0.9862,0.0802,1.000,good,夜,yè,4,sonorant_or_zero,02024,00202426,1
Q071,00202629_10,0,5.7933,35.2140,0.9854,0.1803,0.593,good,就,jiù,4,unaspirated_obstruent,02026,00202629,1
Q072,00201414_01,0,5.5305,30.6315,0.9913,0.1812,1.000,good,貓,māo,1,sonorant_or_zero,02014,00201414,1
Q073,00204229_03,0,2.7097,28.7355,0.8607,0.1804,0.667,good,手,shǒu,3,fricative,02042,00204229,1
Q074,00202901_06,0,2.8098,25.9509,0.9826,0.2609,1.000,good,年,nián,2,sonorant_or_zero,02029,00202901,1
Q075,00204011_11,0,10.4543,35.5558,0.7526,0.1810,1.000,good,到,dào,4,unaspirated_obstruent,02040,00204011,1
Q076,00204526_07,0,1.8505,26.4925,0.6910,0.2209,0.543,good,餐,cān,1,aspirated_obstruent,02045,00204526,1
Q077,00203026_08,0,5.3201,30.9733,0.9678,0.1604,1.000,good,館,guǎn,3,unaspirated_obstruent,02030,00203026,1
Q078,00200520_00,0,-0.9380,29.1541,0.9544,0.1002,1.000,good,裡,lǐ,3,sonorant_or_zero,02005,00200520,1
Q079,00203626_06,0,6.2392,34.2975,0.9822,0.2807,1.000,good,到,dào,4,unaspirated_obstruent,02036,00203626,1
Q080,00204526_08,0,1.4799,26.1219,0.9840,0.2209,1.000,good,館,guǎn,3,unaspirated_obstruent,02045,00204526,1
Q081,00204126_06,0,4.4474,45.5720,0.9967,0.2609,0.953,good,到,dào,4,unaspirated_obstruent,02041,00204126,1
Q082,00200914_03,1,2.4110,19.9769,0.5346,0.1810,0.407,good,名,míng,2,sonorant_or_zero,02009,00200914,1
Q083,00200514_04,0,3.5518,31.5597,0.9801,0.1004,0.818,good,字,zì,4,unaspirated_obstruent,02005,00200514,1
Q084,00201914_04,0,4.8641,19.5713,0.6436,0.1003,1.000,good,字,zì,4,unaspirated_obstruent,02019,00201914,1
Q085,00201820_03,1,-2.2158,28.2014,0.6730,0.1001,1.000,good,一,yī,1,sonorant_or_zero,02018,00201820,0
Q086,00202214_03,0,5.7896,29.6430,0.9017,0.2609,1.000,good,名,míng,2,sonorant_or_zero,02022,00202214,1
Q087,00203326_06,0,6.1501,31.3468,0.9930,0.2609,0.953,good,到,dào,4,unaspirated_obstruent,02033,00203326,1
Q088,00202729_03,0,-1.1871,25.8570,0.9674,0.2001,0.742,good,手,shǒu,3,fricative,02027,00202729,1
Q089,00203229_10,0,2.4236,30.7885,0.8437,0.1004,0.455,good,就,jiù,4,unaspirated_obstruent,02032,00203229,1
Q090,00203411_08,0,0.6714,23.7702,0.9670,0.1810,0.852,good,表,biǎo,3,unaspirated_obstruent,02034,00203411,1
Q091,00203511_11,0,7.8053,38.8965,0.9916,0.2608,1.000,good,到,dào,4,unaspirated_obstruent,02035,00203511,1
Q092,00200720_13,0,6.5222,39.3689,0.5044,0.0802,1.000,good,一,yī,1,sonorant_or_zero,02007,00200720,1
Q093,00203529_04,0,-0.6302,25.3059,0.9268,0.1602,0.391,good,機,jī,1,unaspirated_obstruent,02035,00203529,1
Q094,00200614_07,0,6.2256,30.8171,0.9985,0.1408,0.737,good,花,huā,1,fricative,02006,00200614,0
Q095,00200414_06,0,1.7648,22.0821,0.9474,0.1407,0.474,good,是,shì,4,fricative,02004,00200414,1
Q096,00203529_05,0,-1.0627,22.5122,0.9931,0.1202,0.600,good,發,fā,1,fricative,02035,00203529,1
Q097,00201520_13,0,1.7140,30.9861,0.8420,0.0800,1.000,good,一,yī,1,sonorant_or_zero,02015,00201520,1
Q098,00201114_06,0,-1.2168,28.1283,0.6486,0.1405,0.526,good,是,shì,4,fricative,02011,00201114,1
Q099,00200920_01,0,6.9966,23.3513,0.9296,0.2204,1.000,good,邊,biān,1,unaspirated_obstruent,02009,00200920,1
Q100,00202320_06,0,-7.8596,18.7878,0.5130,0.1807,0.704,good,福,fú,2,fricative,02023,00202320,1
Q101,00203026_05,0,4.8091,30.4623,0.9711,0.2006,1.000,good,搬,bān,1,unaspirated_obstruent,02030,00203026,1
Q102,00201814_04,0,1.3347,27.0518,0.9451,0.1406,0.737,good,字,zì,4,unaspirated_obstruent,02018,00201814,1
Q103,00200220_15,0,-2.0404,31.4920,0.8746,0.4805,0.713,good,床,chuáng,2,aspirated_obstruent,02002,00200220,1
Q104,00203626_04,0,1.3499,29.4082,0.9901,0.2606,0.791,good,飯,fàn,4,fricative,02036,00203626,1
Q105,00201220_00,0,0.4471,32.0034,0.9781,0.1002,1.000,good,裡,lǐ,3,sonorant_or_zero,02012,00201220,1
Q106,00203229_02,0,5.9398,34.3047,0.9915,0.1606,1.000,good,用,yòng,4,sonorant_or_zero,02032,00203229,1
Q107,00202901_09,0,4.2191,27.3602,0.9011,0.2208,0.743,good,春,chūn,1,aspirated_obstruent,02029,00202901,0
Q108,00204311_01,0,3.2351,26.2249,0.4465,0.0603,1.000,good,一,yī,1,sonorant_or_zero,02043,00204311,1
Q109,00203326_06,1,6.1501,31.3468,0.9930,0.2609,0.953,good,到,dào,4,unaspirated_obstruent,02033,00203326,1
Q110,00202901_05,0,1.7215,24.8626,0.8682,0.2007,0.677,good,新,xīn,1,fricative,02029,00202901,1
