dataset_index,utt_id,speaker_id,pinyin,syllable_base,tone,speaker_variety,pinyin_variety,pinyin_source,duration_seconds,mean_f0_hz,median_f0_hz,min_f0_hz,max_f0_hz,f0_range_hz,f0_start,f0_25,f0_50,f0_75,f0_end,slope_start_to_mid,slope_mid_to_end,voiced_proportion,slope_start_to_mid_hz_per_s,slope_mid_to_end_hz_per_s,f0_sd_hz,voiced_frames,total_frames,flags
528,SSB03390197,SSB0339,dou1,dou,1,mainland,mainland,corpus,0.34,221.856,221.596,194.455,248.783,54.3281,248.579,234.33,196.679,219.098,240.485,-27.9608,24.0086,0.881356,-357.929,302.11,18.6528,52,59,
538,SSB03390199,SSB0339,deng3,deng,3,mainland,mainland,corpus,0.16,152.33,93.1494,87.7148,254.371,166.656,251.682,230.586,93.3756,92.8539,90.4874,-312.106,-9.88987,0.652174,-2878.31,-52.5126,76.9324,15,23,octave_span
547,SSB03390204,SSB0339,he2,he,2,mainland,mainland,corpus,0.2,188.822,193.027,175.274,201.255,25.9814,198.885,196.356,193.027,181.938,175.667,-6.90116,-21.7535,0.903226,-78.1073,-231.466,8.75044,28,31,
568,SSB03390220,SSB0339,zhe4,zhe,4,mainland,mainland,corpus,0.14,249.187,249.631,242.424,254.497,12.0728,254.035,252.595,249.631,246.385,245.341,-17.3002,-17.1495,0.421053,-251.649,-245.152,4.52679,8,19,
571,SSB03390224,SSB0339,zou3,zou,3,mainland,mainland,corpus,0.16,93.0536,92.8246,92.6479,93.9243,1.27647,93.3808,93.1469,93.0027,92.7906,92.7427,-4.01324,-2.76934,0.347826,-21.6031,-14.8562,0.474034,8,23,
575,SSB03390225,SSB0339,ni3,ni,3,mainland,mainland,corpus,0.36,166.866,192.701,63.3778,243.28,179.902,226.338,212.107,189.323,64.7217,89.8046,-19.9455,-83.3024,0.920635,-238.806,-642.055,60.4526,58,63,octave_span
587,SSB03390244,SSB0339,he2,he,2,mainland,mainland,corpus,0.18,217.251,217.048,207.996,232.145,24.1492,218.56,217.351,216.95,217.284,208.041,-1.96987,-11.1678,1,-24.7769,-137.056,5.9019,27,27,
591,SSB03390245,SSB0339,you2,you,2,mainland,mainland,corpus,0.16,210.652,209.143,203.138,218.685,15.5475,217.155,216.936,209.143,205.488,203.498,-16.2709,-11.8422,0.73913,-200.303,-141.121,5.68085,17,23,
594,SSB03390245,SSB0339,an4,an,4,mainland,mainland,corpus,0.18,229.404,230.053,219.332,235.855,16.5228,229.019,234.044,234.047,228.136,220.307,8.84597,-24.6446,0.666667,118.3,-323.294,5.13712,18,27,
600,SSB03390251,SSB0339,zuo4,zuo,4,mainland,mainland,corpus,0.22,258.335,257.061,241.938,280.016,38.0781,247.23,244.321,258.651,272.976,258.881,9.477,0.186213,1,138.439,2.78331,12.7598,34,34,
603,SSB03390253,SSB0339,wo3,wo,3,mainland,mainland,corpus,0.3,211.342,212.107,202.494,219.347,16.8523,209.519,212.542,213.217,213.435,203.03,2.63371,-7.36943,0.921569,32.1543,-88.5753,4.07994,47,51,
615,SSB03390263,SSB0339,lai2,lai,2,mainland,mainland,corpus,0.18,219.785,218.73,214.763,228.881,14.1184,225.834,221.714,218.568,216.732,215.861,-9.43523,-3.59619,0.925926,-121.089,-45.1201,3.58738,25,27,
618,SSB03390263,SSB0339,qing2,qing,2,mainland,mainland,corpus,0.34,177.717,196.571,107.334,231.413,124.079,107.833,107.667,228.887,228.887,196.426,89.8626,-18.2607,0.322034,834.856,-223.869,50.1175,19,59,octave_span
622,SSB03390269,SSB0339,qing3,qing,3,mainland,mainland,corpus,0.18,225.02,225.746,198.505,250.012,51.5067,242.198,235.669,225.746,214.687,203.911,-54.1261,-78.2711,0.37037,-731.2,-970.429,17.2868,10,27,
630,SSB03390276,SSB0339,ke3,ke,3,mainland,mainland,corpus,0.16,245.023,247.984,221.573,259.944,38.3708,258.698,255.956,247.984,236.84,227.623,-32.5447,-65.9201,0.434783,-476.174,-904.93,13.7942,10,23,
639,SSB03390278,SSB0339,ke3,ke,3,mainland,mainland,corpus,0.2,219.904,216.871,197.734,256.015,58.2803,201.251,214.245,220.395,252.795,212.895,20.9749,-7.99156,0.774194,255.248,-99.9957,17.0477,24,31,
648,SSB03390281,SSB0339,jiu4,jiu,4,mainland,mainland,corpus,0.18,226.597,238.202,198.992,261.276,62.2839,199.823,203.032,261.05,245.262,238.66,71.1881,-23.8831,0.814815,941.951,-344.456,22.9956,22,27,
650,SSB03390281,SSB0339,neng2,neng,2,mainland,mainland,corpus,0.16,208.294,204.862,188.709,234.946,46.2376,234.417,224.273,204.862,191.73,189.044,-42.4208,-25.2929,1,-537.374,-287.588,17.6109,23,23,
666,SSB03390304,SSB0339,bie2,bie,2,mainland,mainland,corpus,0.14,200.815,201.175,197.528,202.919,5.3919,202.841,202.742,199.004,199.609,200.443,-12.0224,4.53632,0.631579,-139.524,52.3329,2.04633,12,19,
681,SSB03390319,SSB0339,you3,you,3,mainland,mainland,corpus,0.18,224.604,228.864,186.659,262.322,75.6631,260.567,249.595,228.864,194.961,187.895,-34.5532,-52.5342,1,-487.736,-630.285,27.8893,27,27,
691,SSB03390322,SSB0339,na4,na,4,mainland,mainland,corpus,0.14,256.081,253.464,250.557,265.245,14.6875,263.646,260.907,251.433,252.5,253.464,-19.3205,3.27666,0.947368,-287.359,47.7799,5.20881,18,19,
699,SSB03390330,SSB0339,ta1,ta,1,mainland,mainland,corpus,0.14,280.613,279.2,275.971,289.024,13.0528,284.335,282.114,279.52,278.411,277.658,-11.8276,-4.62706,0.578947,-192.605,-74.458,3.87613,11,19,
703,SSB03390332,SSB0339,wo3,wo,3,mainland,mainland,corpus,0.16,191.297,208.307,102.437,212.807,110.371,103.183,212.236,212.376,207.809,198.62,227.217,-21.0785,0.826087,1985.32,-250.109,39.5899,19,23,octave_span
704,SSB03390332,SSB0339,geng4,geng,4,mainland,mainland,corpus,0.2,231.259,195.918,193.166,272.031,78.8653,194.295,194.523,195.497,271.827,269.088,1.42413,73.7492,0.870968,16.0323,981.216,38.8015,27,31,
707,SSB03390333,SSB0339,rang4,rang,4,mainland,mainland,corpus,0.14,262.675,261.944,256.772,269.312,12.54,268.672,267.688,257.545,260.154,263.48,-16.2722,8.76482,1,-247.264,131.885,4.63015,19,19,
711,SSB03390333,SSB0339,shi4,shi,4,mainland,mainland,corpus,0.18,230.159,229.296,222.422,240.07,17.6484,225.701,232.446,232.446,240.033,230.886,7.84333,-1.79306,0.407407,103.774,-23.9939,5.81317,11,27,
716,SSB03390342,SSB0339,dan4,dan,4,mainland,mainland,corpus,0.14,127.717,129.312,123.213,130.167,6.95465,129.712,129.647,129.422,126.772,124.611,-1.93236,-32.7913,0.473684,-14.4619,-240.554,2.77059,9,19,
728,SSB03390349,SSB0339,zai4,zai,4,mainland,mainland,corpus,0.14,287.723,285.8,260.729,325.825,65.0957,317.184,299.528,285.8,269.657,263.673,-55.4999,-42.9262,0.736842,-965.65,-680.844,22.0053,14,19,
750,SSB03390363,SSB0339,shi4,shi,4,mainland,mainland,corpus,0.22,220.774,198.037,192.896,269.951,77.0554,194.135,198.322,198.322,264.398,256.577,4.47728,54.0431,0.294118,50.7462,706.118,32.9192,10,34,low_voicing
757,SSB03390366,SSB0339,dan4,dan,4,mainland,mainland,corpus,0.18,251.899,254.878,239.933,261.976,22.0429,255.953,255.194,255.169,247.652,241.032,-1.06219,-19.7358,0.777778,-15.6799,-282.754,5.82923,21,27,
760,SSB03390366,SSB0339,he2,he,2,mainland,mainland,corpus,0.28,190.056,190.446,178.834,202.688,23.8543,189.192,180.617,195.597,191.627,200.198,5.01244,3.50018,0.93617,55.6987,40.0088,7.41109,44,47,
764,SSB03390368,SSB0339,gai1,gai,1,mainland,mainland,corpus,0.16,263.939,263.082,261.578,269.503,7.9246,264.497,262.248,261.919,263.934,265.309,-6.16751,8.09708,0.521739,-93.7669,123.292,2.42426,12,23,
780,SSB03390381,SSB0339,dao4,dao,4,mainland,mainland,corpus,0.26,246.476,246.383,231.555,260.046,28.4912,248.82,243.784,246.455,251.572,235.06,-1.5752,-7.80515,1,-22.5317,-108.523,6.13002,43,43,
790,SSB03390389,SSB0339,jiao4,jiao,4,mainland,mainland,corpus,0.28,211.842,197.479,194.829,261.4,66.5704,197.071,196.989,197.351,259.227,234.438,0.213754,25.9241,0.914894,2.43495,322.491,23.7459,43,47,
793,SSB03390391,SSB0339,lai2,lai,2,mainland,mainland,corpus,0.18,99.8514,100.637,96.353,102.968,6.61464,96.6583,96.8334,100.637,101.364,101.958,23.2796,7.52641,0.481481,132.632,44.0378,2.33311,13,27,
821,SSB03390405,SSB0339,shi4,shi,4,mainland,mainland,corpus,0.18,242.327,244.508,230.265,248.403,18.1379,243.354,243.783,247.016,246.638,232.128,3.9788,-16.558,1,56.3485,-229.059,5.47508,27,27,
826,SSB03390412,SSB0339,wo3,wo,3,mainland,mainland,corpus,0.14,207.42,209.258,187.652,211.383,23.7318,200.981,209.681,209.339,209.723,209.465,15.6756,0.231561,1,185.738,2.80086,5.64001,19,19,
830,SSB03390415,SSB0339,ting1,ting,1,mainland,mainland,corpus,0.32,232.295,225.879,213.412,273.895,60.4829,238.464,220.181,216.711,273.895,253.094,-12.2666,19.9025,0.745455,-161.133,269.506,17.5984,41,55,
865,SSB03390445,SSB0339,wo3,wo,3,mainland,mainland,corpus,0.3,235.928,227.118,203.646,273.631,69.9853,205.085,219.598,227.598,266.193,273.485,14.4254,25.4374,0.901961,180.103,367.095,24.8615,46,51,
877,SSB03390451,SSB0339,hai2,hai,2,mainland,mainland,corpus,0.2,218.031,220.318,204.179,234.08,29.9018,231.55,224.905,220.644,205.913,206.132,-11.1369,-15.7042,1,-145.418,-193.491,9.58556,31,31,
886,SSB03390460,SSB0339,wo2,wo,2,mainland,mainland,corpus,0.12,230.167,229.856,225.164,237.333,12.1686,229.544,226.214,226.605,231.814,234.992,-6.86358,19.3587,1,-90.4202,258.052,3.98985,14,14,
904,SSB03390490,SSB0339,ke3,ke,3,mainland,mainland,corpus,0.16,233.009,237.656,208.119,250.186,42.0666,249.293,247.77,237.656,219.43,212.524,-36.7832,-86,0.434783,-517.207,-1116.98,16.7342,10,23,
919,SSB03390508,SSB0339,ke3,ke,3,mainland,mainland,corpus,0.22,224.597,222.425,193.944,254.993,61.0489,209.029,233.344,250.998,249.528,196.912,38.3962,-50.928,0.647059,508.717,-655.597,20.0196,22,34,
926,SSB03410006,SSB0341,zhe4,zhe,4,mainland,mainland,corpus,0.26,218.307,211.866,204.875,250.321,45.4463,249.63,227.999,206.89,205.692,211.581,-38.248,4.5662,0.813953,-502.816,55.1845,14.7029,35,43,
933,SSB03410010,SSB0341,jiu4,jiu,4,mainland,mainland,corpus,0.32,185.566,178.09,171.443,227.865,56.4221,171.703,177.31,176.113,177.37,209.316,3.25157,22.1495,0.945455,32.6613,245.949,16.5241,52,55,
936,SSB03410011,SSB0341,wo3,wo,3,mainland,mainland,corpus,0.4,174.381,167.86,124.138,228.935,104.797,211.179,207.549,167.86,148.027,125.084,-22.7116,-29.0987,1,-247.539,-244.431,32.035,71,71,
940,SSB03410012,SSB0341,neng2,neng,2,mainland,mainland,corpus,0.2,163.859,168.385,149.64,178.156,28.516,172.968,177.313,168.385,151.141,150.058,-6.19812,-26.5984,1,-61.1015,-244.356,11.6431,31,31,
949,SSB03410015,SSB0341,jian1,jian,1,mainland,mainland,corpus,0.32,172.429,171.544,146.52,198.495,51.975,148.298,169.71,156.971,194.263,179.415,7.28903,17.1379,0.836364,64.2466,166.251,15.9215,46,55,
959,SSB03410024,SSB0341,wo2,wo,2,mainland,mainland,corpus,0.2,171.067,169.504,153.854,192.383,38.5291,156.627,162.24,169.504,179.112,188.392,26.0527,34.8386,0.709677,245.264,359.771,11.6264,22,31,
978,SSB03410037,SSB0341,you4,you,4,mainland,mainland,corpus,0.18,212.584,214.748,201.902,222.52,20.6181,202.745,209.301,216.992,217.972,206.102,20.4481,-15.5037,0.888889,247.786,-189.405,6.81796,24,27,
983,SSB03410038,SSB0341,ta1,ta,1,mainland,mainland,corpus,0.18,233.868,230.674,229.167,243.327,14.1597,240.382,237.985,229.641,230.08,230.674,-26.3784,2.59105,0.481481,-358.019,34.4464,5.62926,13,27,
985,SSB03410038,SSB0341,wo3,wo,3,mainland,mainland,corpus,0.22,200.897,187.484,145.969,339.371,193.403,207.085,194.539,162.541,146.388,333.304,-50.8245,150.695,0.823529,-539.927,2069.85,59.0514,28,34,octave_span
990,SSB03410058,SSB0341,ni2,ni,2,mainland,mainland,corpus,0.16,192.948,192.995,175.843,212.154,36.3108,203.913,194.846,179.073,188.736,207.755,-42.8365,48.9922,0.956522,-473.152,546.337,11.4756,22,23,
997,SSB03410061,SSB0341,zai4,zai,4,mainland,mainland,corpus,0.28,193.658,180.197,156.572,235.813,79.2416,164.058,173.837,180.197,224.861,205.438,14.1252,19.7355,0.617021,140.337,219.491,25.4711,29,47,
999,SSB03410066,SSB0341,ni3,ni,3,mainland,mainland,corpus,0.18,175.944,175.038,155.581,207.01,51.4289,201.907,179.018,175.038,167.112,155.995,-38.0349,-30.6767,1,-413.369,-292.965,13.8491,27,27,
1011,SSB03410070,SSB0341,qu4,qu,4,mainland,mainland,corpus,0.28,189.919,176.754,148.801,239.083,90.282,158.03,176.703,176.703,238.703,221.588,16.8136,34.0751,0.574468,162.376,390.305,29.2648,27,47,
1013,SSB03410072,SSB0341,qing3,qing,3,mainland,mainland,corpus,0.18,183.326,182.97,168.078,198.877,30.7988,195.008,189.352,180.747,174.123,170.261,-65.7376,-51.7313,0.333333,-713.057,-524.27,11.5265,9,27,
1019,SSB00120191,SSB0012,wo2,wo,2,mainland,mainland,corpus,0.12,245.813,244.382,240.354,256.081,15.7274,242.513,241.076,242.437,248.145,252.583,-0.166054,21.839,1,-2.32574,312.183,5.15682,14,14,
1040,SSB00120201,SSB0012,cong2,cong,2,mainland,mainland,corpus,0.18,266.245,259.546,256.293,305.78,49.4875,284.266,268.58,259.546,256.778,257.446,-39.3768,-3.51524,0.62963,-618.022,-52.4869,14.0122,17,27,
1044,SSB00120201,SSB0012,jiu4,jiu,4,mainland,mainland,corpus,0.24,232.136,228.212,224.947,244.772,19.8244,228.862,227.034,225.583,243.505,238.545,-2.62993,10.1818,1,-34.517,136.447,7.243,39,39,
1050,SSB00120209,SSB0012,ta1,ta,1,mainland,mainland,corpus,0.18,274.636,274.516,272.092,278.101,6.00923,274.167,275.986,274.029,272.66,276.966,-0.192944,4.10095,0.703704,-3.0548,65.2592,1.78772,19,27,
1057,SSB00120211,SSB0012,zai4,zai,4,mainland,mainland,corpus,0.4,211.119,213.172,188.134,239.675,51.541,226.566,200.655,196.973,232.621,215.271,-13.8469,8.7881,0.84507,-169.103,104.563,14.7987,60,71,
1063,SSB00120230,SSB0012,wo3,wo,3,mainland,mainland,corpus,0.14,229.384,230.893,215.657,236.879,21.2223,219.417,227.552,230.893,234.06,236.517,27.1568,12.8182,0.736842,353.111,173.029,6.89393,14,19,
1100,SSB00120276,SSB0012,dan4,dan,4,mainland,mainland,corpus,0.18,276.183,275.273,272.601,283.837,11.2356,281.329,276.935,274.291,275.273,273.53,-9.23365,-1.01298,0.740741,-148.164,-16.0271,2.96999,20,27,
1116,SSB00120292,SSB0012,chao1,chao,1,mainland,mainland,corpus,0.22,255.527,254.246,247.585,268.068,20.4824,264.739,261.455,253.202,248.747,247.792,-22.0394,-10.6838,0.441176,-329.626,-154.581,7.19607,15,34,
1122,SSB00120295,SSB0012,bing4,bing,4,mainland,mainland,corpus,0.22,276.971,278.537,260.468,294.025,33.5569,286.433,280.352,279.88,275.687,263.216,-5.34206,-14.1701,0.911765,-87.3696,-222.191,7.30078,31,34,
1129,SSB00120296,SSB0012,yu3,yu,3,mainland,mainland,corpus,0.18,228.414,227.677,220.275,252.011,31.7362,238.987,222.581,229.827,228.004,222.521,-10.4102,-8.60338,1,-140.935,-112.388,6.80393,27,27,
