Question ID,Word Key,Source Type,Chapter,Section,Item,Traditional Chinese,Pinyin,POS,English Meaning,Round,Question Type,Input Mode,Prompt,Option A,Option B,Option C,Option D,Correct Option,Correct Answer,Accepted Answers
Q0042,C5-5-1-I13-W014,Vocabulary,5,5-1,13,半,bàn,N,half,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 現在十二點____。,巧克力,那裡,冰淇淋,半,D,半,半
Q0043,C5-5-1-I14-W015,Vocabulary,5,5-1,14,吧,ba,Ptc,final particle for suggestion,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「吧」.,to bask in the sun,half,younger brother,final particle for suggestion,D,final particle for suggestion,
Q0044,C5-5-1-I14-W015,Vocabulary,5,5-1,14,吧,ba,Ptc,final particle for suggestion,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「吧」 (tone marks or tone numbers are accepted).,,,,,,ba,ba
Q0045,C5-5-1-I14-W015,Vocabulary,5,5-1,14,吧,ba,Ptc,final particle for suggestion,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 這枝筆太貴了，你買便宜的____。,吧,貓,桌子,隻,A,吧,吧
Q0046,C5-5-2-I1-W016,Vocabulary,5,5-2,1,跟,gēn,Conj,and,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「跟」.,afternoon tea,here,and,but,C,and,
Q0047,C5-5-2-I1-W016,Vocabulary,5,5-2,1,跟,gēn,Conj,and,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「跟」 (tone marks or tone numbers are accepted).,,,,,,gēn,gēn | gen1
Q0048,C5-5-2-I1-W016,Vocabulary,5,5-2,1,跟,gēn,Conj,and,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 這個蛋糕____這瓶果汁一共多少錢？,跟,家具,貓,可是,A,跟,跟
Q0049,C5-5-2-I2-W017,Vocabulary,5,5-2,2,可是,kěshì,Conj,but,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「可是」.,and,elder brother,to look for,but,D,but,
Q0050,C5-5-2-I2-W017,Vocabulary,5,5-2,2,可是,kěshì,Conj,but,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「可是」 (tone marks or tone numbers are accepted).,,,,,,kěshì,kěshì | ke3shi4 | ke3 shi4
Q0051,C5-5-2-I2-W017,Vocabulary,5,5-2,2,可是,kěshì,Conj,but,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我想去朋友家玩，____沒有空。,可是,沙發,跟,狗,A,可是,可是
Q0052,C5-5-2-I3-W018,Vocabulary,5,5-2,3,房間,fángjiān,N,room,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「房間」.,room,sofa,chocolate,wallet; purse,A,room,
Q0053,C5-5-2-I3-W018,Vocabulary,5,5-2,3,房間,fángjiān,N,room,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「房間」 (tone marks or tone numbers are accepted).,,,,,,fángjiān,fángjiān | fang2jian1 | fang2 jian1
Q0054,C5-5-2-I3-W018,Vocabulary,5,5-2,3,房間,fángjiān,N,room,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我的____不太大。,前面,外面,房間,房子,C,房間,房間
Q0055,C5-5-2-I3-W019,Vocabulary,5,5-2,3,房子,fángzi,N,building; house,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「房子」.,building; house,door,chocolate,elder brother,A,building; house,
Q0056,C5-5-2-I3-W019,Vocabulary,5,5-2,3,房子,fángzi,N,building; house,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「房子」 (tone marks or tone numbers are accepted).,,,,,,fángzi,fángzi | fang2zi | fang2 zi
Q0057,C5-5-2-I3-W019,Vocabulary,5,5-2,3,房子,fángzi,N,building; house,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 這棟____不大，可是很貴。,裡面,房子,客廳,下面,B,房子,房子
Q0058,C5-5-2-I3-W020,Vocabulary,5,5-2,3,棟,dòng,M,measure word for buildings,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「棟」.,sofa,measure word for tables and chairs,measure word for animals,measure word for buildings,D,measure word for buildings,
Q0059,C5-5-2-I3-W020,Vocabulary,5,5-2,3,棟,dòng,M,measure word for buildings,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「棟」 (tone marks or tone numbers are accepted).,,,,,,dòng,dòng | dong4
Q0060,C5-5-2-I3-W020,Vocabulary,5,5-2,3,棟,dòng,M,measure word for buildings,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 這____房子不大，可是很貴。,棟,張,床,隻,A,棟,棟
Q0061,C5-5-2-I4-W021,Vocabulary,5,5-2,4,裡(面),lǐ(miàn),N,inside; in,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「裡(面)」.,building; house,side; by the side of; next to,living room,inside; in,D,inside; in,
Q0062,C5-5-2-I4-W021,Vocabulary,5,5-2,4,裡(面),lǐ(miàn),N,inside; in,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「裡(面)」 (tone marks or tone numbers are accepted).,,,,,,lǐ(miàn),lǐ | li3 | lǐmiàn | li3mian4 | li3 mian4 | lǐ(miàn) | li3(mian4)
Q0063,C5-5-2-I4-W021,Vocabulary,5,5-2,4,裡(面),lǐ(miàn),N,inside; in,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 你的書在房間____。,哥哥,裡,房間,後面,B,裡,裡面 | 裡
Q0064,C5-5-2-I4-W022,Vocabulary,5,5-2,4,外(面),wài(miàn),N,outside,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「外(面)」.,here,there,outside,living room,C,outside,
Q0065,C5-5-2-I4-W022,Vocabulary,5,5-2,4,外(面),wài(miàn),N,outside,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「外(面)」 (tone marks or tone numbers are accepted).,,,,,,wài(miàn),wàimiàn | wai4mian4 | wai4 mian4 | wài | wai4 | wài(miàn) | wai4(mian4)
Q0066,C5-5-2-I4-W022,Vocabulary,5,5-2,4,外(面),wài(miàn),N,outside,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 他在房間____做什麼？,房間,下面,外面,廚房,C,外面,外面 | 外
Q0067,C5-5-2-I5-W023,Vocabulary,5,5-2,5,客廳,kètīng,N,living room,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「客廳」.,half,living room,afternoon tea,elder brother,B,living room,
Q0068,C5-5-2-I5-W023,Vocabulary,5,5-2,5,客廳,kètīng,N,living room,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「客廳」 (tone marks or tone numbers are accepted).,,,,,,kètīng,kètīng | ke4ting1 | ke4 ting1
Q0069,C5-5-2-I5-W023,Vocabulary,5,5-2,5,客廳,kètīng,N,living room,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 爸爸在____喝咖啡。,上面,廚房,裡面,客廳,D,客廳,客廳
Q0070,C5-5-2-I6-W024,Vocabulary,5,5-2,6,桌子,zhuōzi,N,table,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「桌子」.,table,door,wallet; purse,bed,A,table,
Q0071,C5-5-2-I6-W024,Vocabulary,5,5-2,6,桌子,zhuōzi,N,table,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「桌子」 (tone marks or tone numbers are accepted).,,,,,,zhuōzi,zhuōzi | zhuo1zi | zhuo1 zi
Q0072,C5-5-2-I6-W024,Vocabulary,5,5-2,6,桌子,zhuōzi,N,table,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我要買一張____跟四張椅子。,桌子,妹妹,沙發,哥哥,A,桌子,桌子
Q0073,C5-5-2-I6-W025,Vocabulary,5,5-2,6,椅子,yǐzi,N,chair,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「椅子」.,music,chair,here,below; under; underneath,B,chair,
Q0074,C5-5-2-I6-W025,Vocabulary,5,5-2,6,椅子,yǐzi,N,chair,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「椅子」 (tone marks or tone numbers are accepted).,,,,,,yǐzi,yǐzi | yi3zi | yi3 zi
Q0075,C5-5-2-I6-W025,Vocabulary,5,5-2,6,椅子,yǐzi,N,chair,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我要買一張桌子跟四張____。,裡面,妹妹,桌子,椅子,D,椅子,椅子
Q0076,C5-5-2-I6-W026,Vocabulary,5,5-2,6,張,zhāng,M,measure word for tables and chairs,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「張」.,measure word for tables and chairs,measure word for buildings,measure word for animals,the sun,A,measure word for tables and chairs,
Q0077,C5-5-2-I6-W026,Vocabulary,5,5-2,6,張,zhāng,M,measure word for tables and chairs,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「張」 (tone marks or tone numbers are accepted).,,,,,,zhāng,zhāng | zhang1
Q0078,C5-5-2-I6-W026,Vocabulary,5,5-2,6,張,zhāng,M,measure word for tables and chairs,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我要買一____桌子跟四張椅子。,隻,棟,找,張,D,張,張
Q0079,C5-5-2-I7-W027,Vocabulary,5,5-2,7,上(面),shàng(miàn),N,above; over; on top of; on the surface of,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「上(面)」.,window,above; over; on top of; on the surface of,half,room,B,above; over; on top of; on the surface of,
Q0080,C5-5-2-I7-W027,Vocabulary,5,5-2,7,上(面),shàng(miàn),N,above; over; on top of; on the surface of,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「上(面)」 (tone marks or tone numbers are accepted).,,,,,,shàng(miàn),shàngmiàn | shang4mian4 | shang4 mian4 | shàng(miàn) | shang4(mian4) | shàng | shang4
Q0081,C5-5-2-I7-W027,Vocabulary,5,5-2,7,上(面),shàng(miàn),N,above; over; on top of; on the surface of,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 你的筆在那本書____。,哥哥,姐姐,上面,下面,C,上面,上面 | 上
Q0082,C5-5-2-I8-W028,Vocabulary,5,5-2,8,有,yǒu,Vst,there is/are; to exist,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「有」.,there is/are; to exist,café,ice cream,measure word for buildings,A,there is/are; to exist,
Q0083,C5-5-2-I8-W028,Vocabulary,5,5-2,8,有,yǒu,Vst,there is/are; to exist,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「有」 (tone marks or tone numbers are accepted).,,,,,,yǒu,yǒu | you3
Q0084,C5-5-2-I8-W028,Vocabulary,5,5-2,8,有,yǒu,Vst,there is/are; to exist,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 你的房間裡____幾張椅子？,音樂,窗戶,有,跟,C,有,有
Q0085,C5-5-2-I9-W029,Vocabulary,5,5-2,9,哥哥,gēge,N,elder brother,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「哥哥」.,cat,at the back; behind,younger brother,elder brother,D,elder brother,
Q0086,C5-5-2-I9-W029,Vocabulary,5,5-2,9,哥哥,gēge,N,elder brother,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「哥哥」 (tone marks or tone numbers are accepted).,,,,,,gēge,gēge | ge1ge | ge1 ge
Q0087,C5-5-2-I9-W029,Vocabulary,5,5-2,9,哥哥,gēge,N,elder brother,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我媽媽有一個____跟兩個妹妹。,姐姐,哥哥,裡面,椅子,B,哥哥,哥哥
Q0088,C5-5-2-I9-W030,Vocabulary,5,5-2,9,姐姐/姊姊,jiějie,N,elder sister,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「姐姐/姊姊」.,kitchen,chair,door,elder sister,D,elder sister,
Q0089,C5-5-2-I9-W030,Vocabulary,5,5-2,9,姐姐/姊姊,jiějie,N,elder sister,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「姐姐/姊姊」 (tone marks or tone numbers are accepted).,,,,,,jiějie,jiějie | jie3jie | jie3 jie
Q0090,C5-5-2-I9-W030,Vocabulary,5,5-2,9,姐姐/姊姊,jiějie,N,elder sister,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我有一個____。,裡面,廚房,姐姐,客廳,C,姐姐,姐姐 | 姊姊
Q0091,C5-5-2-I9-W031,Vocabulary,5,5-2,9,弟弟,dìdi,N,younger brother,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「弟弟」.,younger brother,TV (television),the front; the front side; ahead; in front,above; over; on top of; on the surface of,A,younger brother,
Q0092,C5-5-2-I9-W031,Vocabulary,5,5-2,9,弟弟,dìdi,N,younger brother,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「弟弟」 (tone marks or tone numbers are accepted).,,,,,,dìdi,dìdi | di4di | di4 di
Q0093,C5-5-2-I9-W031,Vocabulary,5,5-2,9,弟弟,dìdi,N,younger brother,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 他有一個____。,後面,妹妹,弟弟,桌子,C,弟弟,弟弟
Q0094,C5-5-2-I9-W032,Vocabulary,5,5-2,9,妹妹,mèimei,N,younger sister,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「妹妹」.,younger sister,younger brother,outside,table,A,younger sister,
Q0095,C5-5-2-I9-W032,Vocabulary,5,5-2,9,妹妹,mèimei,N,younger sister,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「妹妹」 (tone marks or tone numbers are accepted).,,,,,,mèimei,mèimei | mei4mei | mei4 mei
Q0096,C5-5-2-I9-W032,Vocabulary,5,5-2,9,妹妹,mèimei,N,younger sister,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我媽媽有一個哥哥跟兩個____。,裡面,桌子,外面,妹妹,D,妹妹,妹妹
Q0097,C5-5-2-I10-W033,Vocabulary,5,5-2,10,沙發,shāfā,N,sofa,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「沙發」.,bird,sofa,above; over; on top of; on the surface of,younger brother,B,sofa,
Q0098,C5-5-2-I10-W033,Vocabulary,5,5-2,10,沙發,shāfā,N,sofa,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「沙發」 (tone marks or tone numbers are accepted).,,,,,,shāfā,shāfā | sha1fa1 | sha1 fa1
Q0099,C5-5-2-I10-W033,Vocabulary,5,5-2,10,沙發,shāfā,N,sofa,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 客廳裡面有兩張____。,上面,外面,裡面,沙發,D,沙發,沙發
Q0100,C5-5-2-I11-W034,Vocabulary,5,5-2,11,下(面),xià(miàn),N,below; under; underneath,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「下(面)」.,below; under; underneath,sofa,cat,furniture,A,below; under; underneath,
Q0101,C5-5-2-I11-W034,Vocabulary,5,5-2,11,下(面),xià(miàn),N,below; under; underneath,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「下(面)」 (tone marks or tone numbers are accepted).,,,,,,xià(miàn),xiàmiàn | xia4mian4 | xia4 mian4 | xià(miàn) | xia4(mian4) | xià | xia4
Q0102,C5-5-2-I11-W034,Vocabulary,5,5-2,11,下(面),xià(miàn),N,below; under; underneath,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 你的錢包在那件衣服____。,上面,旁邊,妹妹,下面,D,下面,下面 | 下
Q0103,C5-5-2-I12-W035,Vocabulary,5,5-2,12,旁邊,pángbiān,N,side; by the side of; next to,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「旁邊」.,side; by the side of; next to,window,table,above; over; on top of; on the surface of,A,side; by the side of; next to,
Q0104,C5-5-2-I12-W035,Vocabulary,5,5-2,12,旁邊,pángbiān,N,side; by the side of; next to,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「旁邊」 (tone marks or tone numbers are accepted).,,,,,,pángbiān,pángbiān | pang2bian1 | pang2 bian1
Q0105,C5-5-2-I12-W035,Vocabulary,5,5-2,12,旁邊,pángbiān,N,side; by the side of; next to,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我____有日本同學，前面跟後面都有美國同學。,房子,旁邊,椅子,客廳,B,旁邊,旁邊
Q0106,C5-5-2-I12-W036,Vocabulary,5,5-2,12,前(面),qián(miàn),N,the front; the front side; ahead; in front,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「前(面)」.,bed,where,outside,the front; the front side; ahead; in front,D,the front; the front side; ahead; in front,
Q0107,C5-5-2-I12-W036,Vocabulary,5,5-2,12,前(面),qián(miàn),N,the front; the front side; ahead; in front,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「前(面)」 (tone marks or tone numbers are accepted).,,,,,,qián(miàn),qián | qian2 | qián(miàn) | qian2(mian4) | qiánmiàn | qian2mian4 | qian2 mian4
