── entry warnings ──
他們 學校在 山上 (easy): [pinyin-mismatch] 他們: authored "tāmen" vs computed "tāmén" (typo or multi-reading word)
他們 學校在 山上 (easy): [pinyin-mismatch] 姐姐: authored "jiějie" vs computed "jiějiě" (typo or multi-reading word)
他們 學校在 山上 (easy): [pinyin-mismatch] 高興: authored "gāoxìng" vs computed "gāoxīng" (typo or multi-reading word)
我們去喝下午茶 (easy): [pinyin-mismatch] 一起: authored "yīqǐ" vs computed "yìqǐ" (typo or multi-reading word)
我們去喝下午茶 (easy): [pinyin-mismatch] 他們: authored "tāmen" vs computed "tāmén" (typo or multi-reading word)
我們去喝下午茶 (easy): [pinyin-mismatch] 有空: authored "yǒu kòng" vs computed "yǒukōng" (typo or multi-reading word)
我們去喝下午茶 (easy): [pinyin-mismatch] 聽音樂: authored "tīngyīnyuè" vs computed "tīngyīnlè" (typo or multi-reading word)
我們去士林夜市 (easy): [pinyin-mismatch] 一起: authored "yīqǐ" vs computed "yìqǐ" (typo or multi-reading word)
我們去士林夜市 (easy): [pinyin-mismatch] 我們: authored "wǒmen" vs computed "wǒmén" (typo or multi-reading word)
我們去士林夜市 (hard): [pinyin-mismatch] 一起: authored "yīqǐ" vs computed "yìqǐ" (typo or multi-reading word)
我們去士林夜市 (hard): [pinyin-mismatch] 不錯: authored "bù cuò" vs computed "búcuò" (typo or multi-reading word)
我們去士林夜市 (hard): [pinyin-mismatch] 幾個: authored "jǐge" vs computed "jīgè" (typo or multi-reading word)
我們去士林夜市 (hard): [pinyin-mismatch] 有空: authored "yǒu kòng" vs computed "yǒukōng" (typo or multi-reading word)
我們去士林夜市 (hard): [pinyin-mismatch] 這個: authored "zhè ge" vs computed "zhègè" (typo or multi-reading word)
我們去士林夜市 (medium): [pinyin-mismatch] 一起: authored "yīqǐ" vs computed "yìqǐ" (typo or multi-reading word)
我們去士林夜市 (medium): [pinyin-mismatch] 了: authored "le" vs computed "liǎo" (typo or multi-reading word)
我們去士林夜市 (medium): [pinyin-mismatch] 好不好: authored "hǎo bù hǎo" vs computed "hǎobuhǎo" (typo or multi-reading word)
我們去士林夜市 (medium): [pinyin-mismatch] 怎麼: authored "zěnme" vs computed "zěnmó" (typo or multi-reading word)
我們去士林夜市 (medium): [pinyin-mismatch] 我們: authored "wǒmen" vs computed "wǒmén" (typo or multi-reading word)
我們去士林夜市 (medium): [pinyin-mismatch] 有一家: authored "yǒu yī jiā" vs computed "yǒuyìjiā" (typo or multi-reading word)
我們去士林夜市 (medium): [pinyin-mismatch] 這個: authored "zhè ge" vs computed "zhègè" (typo or multi-reading word)
我的房間和我的貓 (easy): [pinyin-mismatch] 房間: authored "fáng jiān" vs computed "fángjiàn" (typo or multi-reading word)
我的房間和我的貓 (easy): [pinyin-mismatch] 桌子: authored "zhuōzi" vs computed "zhuōzǐ" (typo or multi-reading word)
我的房間和我的貓 (easy): [pinyin-mismatch] 橘子: authored "júzi" vs computed "júzǐ" (typo or multi-reading word)
我的房間和我的貓 (easy): [pinyin-mismatch] 睡覺: authored "shuì jiào" vs computed "shuìjué" (typo or multi-reading word)
我的錢包在哪裡? (easy): [pinyin-mismatch] 一起: authored "yīqǐ" vs computed "yìqǐ" (typo or multi-reading word)
我的錢包在哪裡? (easy): [pinyin-mismatch] 空: authored "kòng" vs computed "kōng" (typo or multi-reading word)
我的錢包在哪裡? (easy): [pinyin-mismatch] 聽音樂: authored "tīng yīnyuè" vs computed "tīngyīnlè" (typo or multi-reading word)
我的錢包在哪裡? (easy): [pinyin-mismatch] 高興: authored "gāo xìng" vs computed "gāoxīng" (typo or multi-reading word)
捷運站在哪裡？ (easy): [pinyin-mismatch] 嗎: authored "ma" vs computed "má" (typo or multi-reading word)
捷運站在哪裡？ (easy): [pinyin-mismatch] 高興: authored "gāoxìng" vs computed "gāoxīng" (typo or multi-reading word)
捷運站在哪裡？ (hard): [pinyin-mismatch] 一直: authored "yī zhí" vs computed "yìzhí" (typo or multi-reading word)
捷運站在哪裡？ (hard): [pinyin-mismatch] 幾分鐘: authored "jǐ fēn zhōng" vs computed "jīfēnzhōng" (typo or multi-reading word)
捷運站在哪裡？ (medium): [pinyin-mismatch] 不會: authored "bù huì" vs computed "búhuì" (typo or multi-reading word)
捷運站在哪裡？ (medium): [pinyin-mismatch] 心裡: authored "xīnli" vs computed "xīnlǐ" (typo or multi-reading word)
捷運站在哪裡？ (medium): [pinyin-mismatch] 時間: authored "shíjiān" vs computed "shíjiàn" (typo or multi-reading word)

── distinct questions ──
他們 學校在 山上 (easy) | listening | Q: (nghe) 一起去 | ✓ 一起去 | options: 一起去 / 下課 / 做飯 / 回
他們 學校在 山上 (easy) | listening | Q: (nghe) 中午 | ✓ 中午 | options: 中午 / 時候 / 課 / 風景
他們 學校在 山上 (easy) | listening | Q: (nghe) 中文 | ✓ 中文 | options: 一起去 / 中文 / 姐姐 / 風景
他們 學校在 山上 (easy) | listening | Q: (nghe) 中文 | ✓ 中文 | options: 一起去 / 中文 / 學 / 高興
他們 學校在 山上 (easy) | listening | Q: (nghe) 中文 | ✓ 中文 | options: 下課 / 中文 / 以後 / 弟弟
他們 學校在 山上 (easy) | listening | Q: (nghe) 中文 | ✓ 中文 | options: 下課 / 中文 / 在 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 中文 | ✓ 中文 | options: 中午 / 中文 / 他們 / 以後
他們 學校在 山上 (easy) | listening | Q: (nghe) 中文 | ✓ 中文 | options: 中午 / 中文 / 吃 / 在
他們 學校在 山上 (easy) | listening | Q: (nghe) 中文 | ✓ 中文 | options: 中文 / 他們 / 做飯 / 在
他們 學校在 山上 (easy) | listening | Q: (nghe) 中文 | ✓ 中文 | options: 中文 / 以後 / 學 / 弟弟
他們 學校在 山上 (easy) | listening | Q: (nghe) 中文 | ✓ 中文 | options: 中文 / 做飯 / 弟弟 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 中文 | ✓ 中文 | options: 中文 / 午餐 / 在 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 中文 | ✓ 中文 | options: 中文 / 吃 / 弟弟 / 照相
他們 學校在 山上 (easy) | listening | Q: (nghe) 中文 | ✓ 中文 | options: 中文 / 回 / 照相 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 中文 | ✓ 中文 | options: 中文 / 學 / 時候 / 風景
他們 學校在 山上 (easy) | listening | Q: (nghe) 中文 | ✓ 中文 | options: 中文 / 校園 / 飽 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 他們 | ✓ 他們 | options: 下課 / 中文 / 他們 / 以後
他們 學校在 山上 (easy) | listening | Q: (nghe) 他們 | ✓ 他們 | options: 中午 / 他們 / 家裡 / 照相
他們 學校在 山上 (easy) | listening | Q: (nghe) 他們 | ✓ 他們 | options: 中午 / 他們 / 家裡 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 他們 | ✓ 他們 | options: 中文 / 他們 / 吃 / 家裡
他們 學校在 山上 (easy) | listening | Q: (nghe) 他們 | ✓ 他們 | options: 中文 / 他們 / 家裡 / 照相
他們 學校在 山上 (easy) | listening | Q: (nghe) 他們 | ✓ 他們 | options: 他們 / 以後 / 同學 / 回
他們 學校在 山上 (easy) | listening | Q: (nghe) 他們 | ✓ 他們 | options: 他們 / 以後 / 大樓 / 飯
他們 學校在 山上 (easy) | listening | Q: (nghe) 他們 | ✓ 他們 | options: 他們 / 做 / 吃 / 在
他們 學校在 山上 (easy) | listening | Q: (nghe) 他們 | ✓ 他們 | options: 他們 / 做飯 / 吃 / 在
他們 學校在 山上 (easy) | listening | Q: (nghe) 他們 | ✓ 他們 | options: 他們 / 做飯 / 學 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 他們 | ✓ 他們 | options: 他們 / 午餐 / 吃飽 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 他們 | ✓ 他們 | options: 他們 / 午餐 / 在 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 他們 | ✓ 他們 | options: 他們 / 回 / 大樓 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 他們 | ✓ 他們 | options: 他們 / 大樓 / 姐姐 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 他們 | ✓ 他們 | options: 他們 / 弟弟 / 照相 / 高興
他們 學校在 山上 (easy) | listening | Q: (nghe) 以後 | ✓ 以後 | options: 下課 / 以後 / 校園 / 風景
他們 學校在 山上 (easy) | listening | Q: (nghe) 以後 | ✓ 以後 | options: 下課 / 以後 / 風景 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 以後 | ✓ 以後 | options: 中午 / 他們 / 以後 / 學
他們 學校在 山上 (easy) | listening | Q: (nghe) 以後 | ✓ 以後 | options: 中午 / 以後 / 大樓 / 課
他們 學校在 山上 (easy) | listening | Q: (nghe) 以後 | ✓ 以後 | options: 中文 / 以後 / 做 / 學
他們 學校在 山上 (easy) | listening | Q: (nghe) 以後 | ✓ 以後 | options: 他們 / 以後 / 做 / 同學
他們 學校在 山上 (easy) | listening | Q: (nghe) 以後 | ✓ 以後 | options: 他們 / 以後 / 做飯 / 弟弟
他們 學校在 山上 (easy) | listening | Q: (nghe) 以後 | ✓ 以後 | options: 以後 / 做 / 在 / 時候
他們 學校在 山上 (easy) | listening | Q: (nghe) 以後 | ✓ 以後 | options: 以後 / 午餐 / 學 / 風景
他們 學校在 山上 (easy) | listening | Q: (nghe) 以後 | ✓ 以後 | options: 以後 / 吃 / 在 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 以後 | ✓ 以後 | options: 以後 / 吃飽 / 弟弟 / 風景
他們 學校在 山上 (easy) | listening | Q: (nghe) 以後 | ✓ 以後 | options: 以後 / 時候 / 飯 / 高興
他們 學校在 山上 (easy) | listening | Q: (nghe) 做 | ✓ 做 | options: 一起去 / 中文 / 做 / 風景
他們 學校在 山上 (easy) | listening | Q: (nghe) 做 | ✓ 做 | options: 下課 / 做 / 做飯 / 在
他們 學校在 山上 (easy) | listening | Q: (nghe) 做 | ✓ 做 | options: 下課 / 做 / 做飯 / 飯
他們 學校在 山上 (easy) | listening | Q: (nghe) 做 | ✓ 做 | options: 中午 / 他們 / 做 / 學
他們 學校在 山上 (easy) | listening | Q: (nghe) 做 | ✓ 做 | options: 中午 / 他們 / 做 / 照相
他們 學校在 山上 (easy) | listening | Q: (nghe) 做 | ✓ 做 | options: 中午 / 做 / 吃飽 / 校園
他們 學校在 山上 (easy) | listening | Q: (nghe) 做 | ✓ 做 | options: 以後 / 做 / 吃 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 做 | ✓ 做 | options: 以後 / 做 / 同學 / 高興
他們 學校在 山上 (easy) | listening | Q: (nghe) 做 | ✓ 做 | options: 做 / 做飯 / 姐姐 / 弟弟
他們 學校在 山上 (easy) | listening | Q: (nghe) 做 | ✓ 做 | options: 做 / 做飯 / 弟弟 / 高興
他們 學校在 山上 (easy) | listening | Q: (nghe) 做 | ✓ 做 | options: 做 / 午餐 / 姐姐 / 弟弟
他們 學校在 山上 (easy) | listening | Q: (nghe) 做 | ✓ 做 | options: 做 / 吃 / 大樓 / 風景
他們 學校在 山上 (easy) | listening | Q: (nghe) 做 | ✓ 做 | options: 做 / 吃飽 / 照相 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 做 | ✓ 做 | options: 做 / 在 / 家裡 / 校園
他們 學校在 山上 (easy) | listening | Q: (nghe) 做 | ✓ 做 | options: 做 / 學 / 家裡 / 弟弟
他們 學校在 山上 (easy) | listening | Q: (nghe) 做飯 | ✓ 做飯 | options: 下課 / 中文 / 做飯 / 吃
他們 學校在 山上 (easy) | listening | Q: (nghe) 做飯 | ✓ 做飯 | options: 中午 / 以後 / 做飯 / 在
他們 學校在 山上 (easy) | listening | Q: (nghe) 做飯 | ✓ 做飯 | options: 中午 / 以後 / 做飯 / 風景
他們 學校在 山上 (easy) | listening | Q: (nghe) 做飯 | ✓ 做飯 | options: 中午 / 做飯 / 吃 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 做飯 | ✓ 做飯 | options: 中午 / 做飯 / 在 / 校園
他們 學校在 山上 (easy) | listening | Q: (nghe) 做飯 | ✓ 做飯 | options: 中午 / 做飯 / 時候 / 校園
他們 學校在 山上 (easy) | listening | Q: (nghe) 做飯 | ✓ 做飯 | options: 中文 / 做飯 / 吃 / 在
他們 學校在 山上 (easy) | listening | Q: (nghe) 做飯 | ✓ 做飯 | options: 他們 / 做飯 / 校園 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 做飯 | ✓ 做飯 | options: 做 / 做飯 / 風景 / 高興
他們 學校在 山上 (easy) | listening | Q: (nghe) 做飯 | ✓ 做飯 | options: 做飯 / 吃 / 在 / 飯
他們 學校在 山上 (easy) | listening | Q: (nghe) 做飯 | ✓ 做飯 | options: 做飯 / 吃 / 姐姐 / 家裡
他們 學校在 山上 (easy) | listening | Q: (nghe) 做飯 | ✓ 做飯 | options: 做飯 / 回 / 家裡 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 做飯 | ✓ 做飯 | options: 做飯 / 在 / 大樓 / 時候
他們 學校在 山上 (easy) | listening | Q: (nghe) 做飯 | ✓ 做飯 | options: 做飯 / 大樓 / 學 / 高興
他們 學校在 山上 (easy) | listening | Q: (nghe) 做飯 | ✓ 做飯 | options: 做飯 / 大樓 / 弟弟 / 校園
他們 學校在 山上 (easy) | listening | Q: (nghe) 做飯 | ✓ 做飯 | options: 做飯 / 弟弟 / 校園 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 一起去 / 以後 / 午餐 / 吃飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 一起去 / 以後 / 午餐 / 飯
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 下課 / 中午 / 午餐 / 姐姐
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 下課 / 做飯 / 午餐 / 學
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 下課 / 午餐 / 大樓 / 時候
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 中午 / 午餐 / 家裡 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 他們 / 午餐 / 姐姐 / 課
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 以後 / 做 / 做飯 / 午餐
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 以後 / 午餐 / 回 / 飯
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 做 / 午餐 / 同學 / 校園
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 做 / 午餐 / 同學 / 高興
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 做 / 午餐 / 學 / 課
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 做 / 午餐 / 時候 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 午餐 / 吃 / 學 / 照相
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 午餐 / 吃飽 / 大樓 / 家裡
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 午餐 / 吃飽 / 大樓 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 午餐 / 同學 / 學 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 午餐 / 在 / 時候 / 校園
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 午餐 / 在 / 風景 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 午餐 | ✓ 午餐 | options: 午餐 / 弟弟 / 課 / 飯
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 一起去 / 下課 / 吃 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 下課 / 中午 / 吃 / 風景
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 下課 / 他們 / 吃 / 大樓
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 下課 / 以後 / 吃 / 弟弟
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 中午 / 吃 / 家裡 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 中文 / 吃 / 吃飽 / 家裡
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 中文 / 吃 / 姐姐 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 他們 / 午餐 / 吃 / 校園
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 他們 / 吃 / 在 / 課
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 他們 / 吃 / 姐姐 / 飽
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 以後 / 午餐 / 吃 / 時候
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 做 / 做飯 / 吃 / 弟弟
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 做 / 午餐 / 吃 / 回
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 做飯 / 吃 / 時候 / 課
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 吃 / 同學 / 弟弟 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 吃 / 回 / 學 / 課
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 吃 / 姐姐 / 校園 / 麵店
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃 | ✓ 吃 | options: 吃 / 校園 / 課 / 風景
他們 學校在 山上 (easy) | listening | Q: (nghe) 吃飽 | ✓ 吃飽 | options: 一起去 / 吃飽 / 校園 / 高興
