我們去喝下午茶 | cloze | ____是你的朋友。 → 我 | pool: 他 / 去 / 哪裡 / 喝 / 在 / 她 / 家 / 有空 / 知道
我們去喝下午茶 | pinyin | 很多 → hěn duō | pool: a / bīngqílín / hèn duō / hén duō / hēn duō / hěn dùo / hěn dúo / hěn dǔo / hǎo a / hǎochī / jiā / kànshū / kāfēitīng / liǎng diǎn bàn / nǎlǐ / nǐ / qiǎokèlì / tīngyīnyuè / xiàwǔchá / xiǎng / yào
我們去喝下午茶 | pinyin | 想 → xiǎng | pool: a / hē / hǎo a / jiā / kànshū / liǎng diǎn bàn / nǎlǐ / qiǎokèlì / qù / tāmen / xiàng / xiàwǔ / xiáng / xiāng / xīngqīliù / yīqǐ / yǒu měi / zhǒng
我們去喝下午茶 | pinyin | 我 → wǒ | pool: hǎochī / jiā / kànshū / liǎng diǎn bàn / nǐ / qiǎokèlì / wò / wó / wō / xiǎng / xīngqīliù / yīqǐ / yǒu
我們去喝下午茶 | pinyin | 星期六 → xīngqīliù | pool: hē / hǎo a / hǎochī / jiā / kànshū / kāfēitīng / nǎlǐ / nǐ / tīngyīnyuè / wǒ / xingqiliu1 / xingqiliu2 / xingqiliu3 / yīqǐ / zhōu mò / zuò
我們去喝下午茶 | pinyin | 有 → yǒu | pool: a / bīngqílín / hē / hěn duō / hǎo a / kànshū / liǎng diǎn bàn / nǎlǐ / qiǎokèlì / tīngyīnyuè / xiàwǔchá / xīngqīliù / yòu / yóu / yīqǐ / yōu / yǒu kòng / yǒu měi / zuò
我們去喝下午茶 | pinyin | 有空 → yǒu kòng | pool: bīngqílín / hěn duō / hǎochī / kāfēitīng / nǎlǐ / nǐ / qiǎokèlì / tāmen / tīngyīnyuè / wǒ / xiàwǔ / yào / yòu kòng / yóu kòng / yōu kòng / yǒu kóng / yǒu kōng / yǒu kǒng / yǒu měi / zhīdào / zhōu mò
我們去喝下午茶 | pinyin | 看書 → kànshū | pool: a / bīngqílín / hǎo a / hǎochī / kanshu2 / kanshu3 / kanshu4 / nǎlǐ / nǐ / tāmen / xiàwǔ / xiàwǔchá / xīngqīliù / yǒu měi / zhōu mò / zuò
我們去喝下午茶 | pinyin | 知道 → zhīdào | pool: a / bīngqílín / hǎo a / jiā / kànshū / liǎng diǎn bàn / qiǎokèlì / qù / tīngyīnyuè / xiàwǔchá / xīngqīliù / yīqǐ / yǒu / zhidao1 / zhidao2 / zhidao3 / zuò
我們去喝下午茶 | pinyin | 種 → zhǒng | pool: a / hē / hěn duō / hǎochī / kànshū / nǎlǐ / nǐ / xiǎng / xīngqīliù / yào / yīqǐ / yǒu / yǒu kòng / zhòng / zhóng / zhōng
我們去喝下午茶 | pinyin | 聽音樂 → tīngyīnyuè | pool: a / bīngqílín / hē / hěn duō / kāfēitīng / tingyinyue1 / tingyinyue2 / tingyinyue3 / xiǎng / yào / yīqǐ / zhīdào / zhōu mò / zhǒng / zuò / zài
我們去喝下午茶 | pinyin | 要 → yào | pool: hē / hǎo a / hǎochī / qù / xiàwǔchá / xiǎng / xīngqīliù / yáo / yāo / yīqǐ / yǎo / yǒu / zuò
我們去喝下午茶 | pinyin | 週末 → zhōu mò | pool: a / hǎo a / kànshū / kāfēitīng / qiǎokèlì / xīngqīliù / yǒu kòng / yǒu měi / zhòu mò / zhóu mò / zhōu mó / zhōu mō / zhōu mǒ / zhǒu mò
我們去喝下午茶 | pos | 一起 → Adv | pool: Adj / MW / N / Particle / Phrase / V
我們去喝下午茶 | pos | 下午 → N | pool: Adv / MW / Particle / V
我們去喝下午茶 | pos | 下午茶 → N | pool: Adj / Adv / Particle / Phrase / V
我們去喝下午茶 | pos | 他們 → N | pool: Adj / Adv / MW / Particle / Phrase / V
我們去喝下午茶 | pos | 你 → N | pool: Adj / Adv / V
我們去喝下午茶 | pos | 做 → V | pool: MW / N / Particle / Phrase
我們去喝下午茶 | pos | 兩點半 → MW | pool: Adv / N / Particle / Phrase / V
我們去喝下午茶 | pos | 冰淇淋 → N | pool: Adj / Adv / Particle / Phrase / V
我們去喝下午茶 | pos | 去 → V | pool: Adj / MW / N / Phrase
我們去喝下午茶 | pos | 友美 → N | pool: Adj / MW / Particle / V
我們去喝下午茶 | pos | 咖啡廳 → N | pool: Adv / MW / Particle / Phrase
我們去喝下午茶 | pos | 哪裡 → N | pool: Adj / Adv / MW / Phrase / V
我們去喝下午茶 | pos | 啊 → Particle | pool: N / Phrase / V
我們去喝下午茶 | pos | 喝 → V | pool: Adj / Adv / Particle
我們去喝下午茶 | pos | 在 → Particle | pool: Adj / Adv / MW / N / Phrase / V
我們去喝下午茶 | pos | 好吃 → Adj | pool: Adv / MW / N / Particle / Phrase / V
我們去喝下午茶 | pos | 好啊 → Phrase | pool: Adv / MW / N / Particle / V
我們去喝下午茶 | pos | 家 → N | pool: Adj / Adv / MW / Particle / Phrase / V
我們去喝下午茶 | pos | 巧克力 → N | pool: Adj / Adv / MW / Particle / Phrase
我們去喝下午茶 | pos | 很多 → Adj | pool: Adv / MW / N / Particle / Phrase / V
我們去喝下午茶 | pos | 想 → V | pool: Adj / Adv / MW / N / Particle / Phrase
我們去喝下午茶 | pos | 我 → N | pool: Adj / Adv / MW / Particle / Phrase
我們去喝下午茶 | pos | 星期六 → N | pool: Adj / MW / Phrase / V
我們去喝下午茶 | pos | 有 → V | pool: Adj / Adv / MW / N / Particle / Phrase
我們去喝下午茶 | pos | 有空 → Phrase | pool: Adv / N / Particle
我們去喝下午茶 | pos | 看書 → V | pool: Adj / Adv / MW / N / Particle / Phrase
我們去喝下午茶 | pos | 知道 → V | pool: Adj / Adv / MW / N / Particle / Phrase
我們去喝下午茶 | pos | 種 → MW | pool: Adj / Adv / N / Particle / Phrase
我們去喝下午茶 | pos | 聽音樂 → V | pool: Adj / Adv / N / Particle / Phrase
我們去喝下午茶 | pos | 要 → V | pool: Adj / Adv / MW / Particle / Phrase
我們去喝下午茶 | reverse | I → 我 | pool: 下午 / 下午茶 / 他們 / 做 / 兩點半 / 吳 / 吳姓 / 咖啡廳 / 啊 / 喝 / 在 / 好吃 / 好啊 / 妳 / 妳你 / 家 / 巧克力 / 很多 / 想 / 有 / 有空 / 知道 / 種 / 聽音樂 / 要 / 麼字
我們去喝下午茶 | reverse | Saturday → 星期六 | pool: 一起 / 下午 / 他們 / 你 / 兩點半 / 六合 / 六月 / 六角 / 冰淇淋 / 去 / 友美 / 哪裡 / 啊 / 在 / 好吃 / 家 / 很多 / 星期五 / 星期四 / 星期日 / 有空 / 看書 / 聽音樂
我們去喝下午茶 | reverse | afternoon tea → 下午茶 | pool: 一起 / 下午 / 你 / 做 / 兩點半 / 冰淇淋 / 午餐會 / 去 / 友美 / 喝 / 在 / 好吃 / 巧克力 / 很多 / 早餐時間 / 星期六 / 晚餐 / 晚餐聚會 / 有 / 有空 / 看書 / 知道 / 種 / 聽音樂 / 週末
我們去喝下午茶 | reverse | afternoon → 下午 | pool: 一起 / 下午茶 / 下班 / 下班時間 / 下課 / 下課鈴 / 下載 / 下載檔案 / 他們 / 你 / 兩點半 / 冰淇淋 / 去 / 友美 / 咖啡廳 / 啊 / 喝 / 在 / 好吃 / 好啊 / 家 / 巧克力 / 很多 / 想 / 我 / 星期六 / 有 / 聽音樂 / 要
我們去喝下午茶 | reverse | ah → 啊 | pool: 一起 / 他們 / 做 / 兩點半 / 去 / 哦 / 哪裡 / 唉 / 喝 / 嗚 / 嗯 / 在 / 好吃 / 好啊 / 家 / 想 / 我 / 星期六 / 有 / 有空 / 看書 / 知道 / 種 / 聽音樂 / 要
我們去喝下午茶 | reverse | at → 在 | pool: 一起 / 下午 / 仔 / 仔細 / 他們 / 你 / 做 / 兩點半 / 去 / 友美 / 咖啡廳 / 喝 / 好吃 / 好啊 / 宰 / 很多 / 我 / 星期六 / 有空 / 知道 / 種 / 聽音樂 / 週末
我們去喝下午茶 | reverse | cafe → 咖啡廳 | pool: 一起 / 下午 / 下午茶 / 他們 / 你 / 做 / 冰淇淋 / 去 / 友美 / 哪裡 / 啊 / 喝 / 在 / 好吃 / 好啊 / 家 / 巧克力 / 很多 / 星期六 / 有 / 有空 / 看書 / 知道 / 種 / 聽音樂 / 茶室 / 茶會 / 茶館 / 要 / 週末 / 酒吧 / 餐廳
我們去喝下午茶 | reverse | chocolate → 巧克力 | pool: 下午 / 下午茶 / 你 / 做 / 力士 / 去 / 友美 / 可可 / 可樂 / 咖啡廳 / 哪裡 / 好吃 / 很多 / 想 / 我 / 星期六 / 有 / 果凍 / 看書 / 知道 / 種 / 糖果 / 聽音樂 / 週末 / 餅乾
我們去喝下午茶 | reverse | delicious → 好吃 | pool: 下午 / 下午茶 / 吃驚 / 咖啡廳 / 哪裡 / 喝 / 在 / 好人 / 好喝 / 好玩 / 好看 / 家 / 想 / 我 / 有空 / 種 / 聽音樂 / 週末
我們去喝下午茶 | reverse | drink → 喝 | pool: 下午 / 他們 / 做 / 冰淇淋 / 友美 / 咖啡廳 / 啊 / 喂 / 在 / 好吃 / 好啊 / 家 / 巧克力 / 很多 / 我 / 揭 / 揭開 / 星期六 / 有空 / 渴 / 渴望 / 知道 / 種 / 要 / 週末 / 餵食
我們去喝下午茶 | reverse | friend's name → 友美 | pool: 一起 / 下午 / 他們 / 你 / 做 / 冰淇淋 / 友善 / 友好 / 咖啡廳 / 啊 / 好吃 / 好啊 / 家 / 巧克力 / 很多 / 想 / 我 / 星期六 / 有 / 有空 / 看書 / 知道 / 種 / 美人 / 美味 / 美好 / 美麗 / 聽音樂 / 週末
我們去喝下午茶 | reverse | have time → 有空 | pool: 一起 / 下午 / 他們 / 你 / 做 / 兩點半 / 冰淇淋 / 去 / 友美 / 咖啡廳 / 哪裡 / 啊 / 在 / 好吃 / 好啊 / 很多 / 想 / 我 / 星期六 / 有 / 有趣 / 有錢 / 看書 / 知道 / 種 / 空氣 / 空白 / 空間 / 聽音樂 / 要
我們去喝下午茶 | reverse | have → 有 | pool: 一起 / 下午 / 下午茶 / 他們 / 佇 / 你 / 做 / 兩點半 / 冰淇淋 / 又 / 啊 / 喝 / 在 / 好吃 / 好啊 / 家 / 巧克力 / 很多 / 星期六 / 有無 / 有空 / 有關 / 知道 / 種 / 聽音樂
我們去喝下午茶 | reverse | home → 家 | pool: 下午 / 下午茶 / 你 / 做 / 兩點半 / 冰淇淋 / 加 / 加油 / 去 / 友美 / 咖啡廳 / 哪裡 / 喝 / 嘉獎 / 在 / 好吃 / 好啊 / 嫁給 / 巧克力 / 想 / 星期六 / 有 / 看書 / 聽音樂 / 要
我們去喝下午茶 | reverse | ice cream → 冰淇淋 | pool: 一起 / 下午茶 / 他們 / 你 / 做 / 兩點半 / 冰棒 / 冰沙 / 去 / 友美 / 咖啡廳 / 哪裡 / 啊 / 巧克力 / 很多 / 想 / 我 / 有 / 有空 / 淇淋 / 知道 / 種 / 要
我們去喝下午茶 | reverse | kind → 種 | pool: 一起 / 下午 / 他們 / 你 / 做 / 兩點半 / 冰淇淋 / 去 / 友美 / 咖啡廳 / 哪裡 / 啊 / 喝 / 型 / 好吃 / 好啊 / 家 / 巧克力 / 想 / 我 / 星期六 / 樣 / 看書 / 知道 / 秩 / 聽音樂 / 要 / 週末 / 類
我們去喝下午茶 | reverse | know → 知道 | pool: 一起 / 下午 / 下午茶 / 他們 / 你 / 做 / 兩點半 / 冰淇淋 / 去 / 友美 / 咖啡廳 / 哪裡 / 啊 / 喝 / 好吃 / 好啊 / 家 / 導致 / 巧克力 / 想 / 我 / 明白 / 星期六 / 曉得 / 有 / 有空 / 清晰 / 清楚 / 看書 / 種 / 聽音樂 / 週末 / 道德
我們去喝下午茶 | reverse | many → 很多 | pool: 一起 / 下午 / 下午茶 / 他們 / 你 / 做 / 兩點半 / 冰淇淋 / 去 / 友美 / 咖啡廳 / 啊 / 在 / 大量 / 好啊 / 家 / 少數 / 巧克力 / 想 / 數量 / 星期六 / 有 / 有空 / 種 / 要 / 許多 / 週末
我們去喝下午茶 | reverse | okay → 好啊 | pool: 一起 / 下午 / 下午茶 / 他們 / 你 / 做 / 兩點半 / 冰淇淋 / 去 / 友美 / 咖啡廳 / 哪裡 / 啊 / 啊哈 / 喝 / 在 / 好事 / 好事多磨 / 好吃 / 好吧 / 好運 / 好運氣 / 家 / 巧克力 / 我 / 有空 / 知道 / 種 / 週末
我們去喝下午茶 | reverse | they → 他們 | pool: 下午 / 下午茶 / 人們 / 你 / 兩點半 / 冰淇淋 / 去 / 咖啡廳 / 哪裡 / 啊 / 喝 / 在 / 她們 / 好吃 / 好啊 / 巧克力 / 很多 / 我 / 我們 / 星期六 / 有 / 看書 / 知道 / 種
我們去喝下午茶 | reverse | to do → 做 | pool: 下午 / 他們 / 佇 / 佇立 / 你 / 兩點半 / 冰淇淋 / 去 / 友美 / 哪裡 / 啊 / 喝 / 在 / 家 / 很多 / 想 / 我 / 措辭 / 有 / 有空 / 看書 / 知道 / 種 / 聽音樂 / 著 / 著作 / 要
我們去喝下午茶 | reverse | to go → 去 | pool: 一起 / 下午 / 下午茶 / 他們 / 你 / 做 / 兩點半 / 冰淇淋 / 友美 / 咖啡廳 / 啊 / 喝 / 在 / 好吃 / 好啊 / 家 / 巧克力 / 往 / 往事 / 很多 / 我 / 有 / 看書 / 種 / 聽音樂 / 至 / 至於 / 要 / 赴 / 赴任 / 週末
我們去喝下午茶 | reverse | to listen to music → 聽音樂 | pool: 一起 / 下午 / 下午茶 / 你 / 做 / 冰淇淋 / 去 / 咖啡廳 / 哪裡 / 啊 / 喝 / 在 / 好吃 / 好啊 / 家 / 巧克力 / 很多 / 想 / 我 / 星期六 / 有 / 看書 / 種 / 聽力 / 聽力學 / 聽診 / 聽診器 / 聽證 / 聽證會 / 週末
我們去喝下午茶 | reverse | to read → 看書 | pool: 一起 / 下午 / 他們 / 你 / 做 / 兩點半 / 冰淇淋 / 咖啡廳 / 哪裡 / 啊 / 喝 / 在 / 好吃 / 好啊 / 巧克力 / 很多 / 想 / 我 / 星期六 / 有 / 有空 / 看守 / 看守門口 / 看板 / 看板廣告 / 看護 / 看護病人 / 知道 / 種 / 聽音樂 / 要 / 週末
我們去喝下午茶 | reverse | to want → 要 | pool: 一起 / 下午 / 下午茶 / 他們 / 做 / 兩點半 / 冰淇淋 / 去 / 咖啡廳 / 哪裡 / 啊 / 好吃 / 好啊 / 家 / 巧克力 / 想 / 我 / 星期六 / 有 / 有空 / 椰 / 椰子 / 耀 / 耀眼 / 藥 / 藥物
我們去喝下午茶 | reverse | together → 一起 | pool: 一同前行 / 一致同意 / 一體 / 一體兩面 / 下午茶 / 他們 / 你 / 做 / 冰淇淋 / 去 / 友美 / 在 / 好吃 / 好啊 / 家 / 巧克力 / 很多 / 想 / 我 / 有 / 有空 / 看書 / 知道 / 種 / 要 / 週末
我們去喝下午茶 | reverse | two thirty → 兩點半 | pool: 一起 / 三點 / 下午 / 五點 / 他們 / 半夜 / 咖啡廳 / 哪裡 / 啊 / 喝 / 四點 / 好吃 / 好啊 / 很多 / 我 / 星期六 / 有 / 有空 / 看書 / 知道 / 種 / 聽音樂 / 要 / 週末
我們去喝下午茶 | reverse | weekend → 週末 | pool: 一起 / 下午茶 / 他們 / 你 / 做 / 去 / 友美 / 咖啡廳 / 哪裡 / 啊 / 喝 / 在 / 好吃 / 好啊 / 家 / 巧克力 / 很多 / 想 / 我 / 星期六 / 有 / 末日 / 末端 / 知道 / 種 / 聽音樂 / 要 / 週報 / 週期 / 週間
我們去喝下午茶 | reverse | where → 哪裡 | pool: 一起 / 下午 / 下午茶 / 他們 / 做 / 兩點半 / 冰淇淋 / 去 / 友美 / 咖啡廳 / 哪個 / 哪兒 / 哪吒 / 哪天 / 啊 / 喝 / 在 / 好吃 / 想 / 我 / 星期六 / 有 / 有空 / 看書 / 知道 / 種 / 聽音樂 / 裡面 / 要 / 週末
我們去喝下午茶 | reverse | would like to → 想 | pool: 一起 / 下午 / 下午茶 / 做 / 兩點半 / 冰淇淋 / 去 / 友美 / 咖啡廳 / 哪裡 / 啊 / 喝 / 在 / 好吃 / 好啊 / 巧克力 / 很多 / 念 / 念頭 / 憶 / 憶念 / 懷 / 懷疑 / 我 / 有 / 知道 / 種 / 聽音樂 / 要 / 週末
