cloze | 我們去喝下午茶 (easy) | ____是你的朋友。 → 我 | 他 / 去 / 哪裡 / 喝 / 在 / 她 / 家 / 有空 / 知道
cloze | 捷運站在哪裡？ (easy) | 承翰：____，捷運站在哪裡？ → 請問 | 對不起 / 抱歉 / 謝謝
cloze | 捷運站在哪裡？ (easy) | 承翰：請問，____站在哪裡？ → 捷運 | 巴士 / 船 / 飛機
cloze | 捷運站在哪裡？ (easy) | 承翰：請問，捷運____哪裡？ → 站在 | 坐著 / 站著 / 躺著
cloze | 捷運站在哪裡？ (easy) | 承翰：遠____？ → 嗎 | 吧 / 呢 / 啦
pos | 他們 學校在 山上 (easy) | 一起去 → Adv | Adj / N / Particle / Phrase / V
pos | 他們 學校在 山上 (easy) | 下課 → Phrase | Adj / Adv / N / Particle / V
pos | 他們 學校在 山上 (easy) | 中午 → N | Particle / Phrase / V
pos | 他們 學校在 山上 (easy) | 中文 → N | Adj / Adv / Particle / Phrase / V
pos | 他們 學校在 山上 (easy) | 他們 → N | Adj / Adv / Particle / Phrase / V
pos | 他們 學校在 山上 (easy) | 以後 → N | Adj / Adv / V
pos | 他們 學校在 山上 (easy) | 做 → V | Adj / Adv / N / Particle / Phrase
pos | 他們 學校在 山上 (easy) | 做飯 → V | Adj / N / Particle
pos | 他們 學校在 山上 (easy) | 午餐 → N | Adj / Particle / Phrase / V
pos | 他們 學校在 山上 (easy) | 吃 → V | Adj / Adv / N / Phrase
pos | 他們 學校在 山上 (easy) | 吃飽 → V | Adj / N / Phrase
pos | 他們 學校在 山上 (easy) | 同學 → N | Adj / Adv / Particle / Phrase / V
pos | 他們 學校在 山上 (easy) | 回 → V | Adj / Adv / N / Particle / Phrase
pos | 他們 學校在 山上 (easy) | 在 → Particle | Adj / Adv / N / Phrase / V
pos | 他們 學校在 山上 (easy) | 大樓 → N | Adj / Adv / Particle / Phrase / V
pos | 他們 學校在 山上 (easy) | 姐姐 → N | Adj / Adv / Particle
pos | 他們 學校在 山上 (easy) | 學 → V | Adj / Adv / N / Particle / Phrase
pos | 他們 學校在 山上 (easy) | 家裡 → N | Adj / Adv / Particle / Phrase / V
pos | 他們 學校在 山上 (easy) | 弟弟 → N | Adj / Adv / Particle / Phrase / V
pos | 他們 學校在 山上 (easy) | 時候 → Particle | Adj / Adv / N / Phrase / V
pos | 他們 學校在 山上 (easy) | 校園 → N | Adj / Adv / Particle / Phrase / V
pos | 他們 學校在 山上 (easy) | 照相 → V | Adj / Adv / N / Particle / Phrase
pos | 他們 學校在 山上 (easy) | 課 → N | Adj / Adv / Particle / Phrase / V
pos | 他們 學校在 山上 (easy) | 風景 → N | Adv / Particle / Phrase / V
pos | 他們 學校在 山上 (easy) | 飯 → N | Adj / Adv / Particle / Phrase / V
pos | 他們 學校在 山上 (easy) | 飽 → Adj | Adv / N / Particle / Phrase / V
pos | 他們 學校在 山上 (easy) | 高興 → Adj | Adv / N / Particle / Phrase / V
pos | 他們 學校在 山上 (easy) | 麵店 → N | Adj / Adv / Particle / V
pos | 我們去喝下午茶 (easy) | 一起 → Adv | Adj / MW / N / Particle / Phrase / V
pos | 我們去喝下午茶 (easy) | 下午 → N | Adv / MW / Particle / V
pos | 我們去喝下午茶 (easy) | 下午茶 → N | Adj / Adv / Particle / Phrase / V
pos | 我們去喝下午茶 (easy) | 他們 → N | Adj / Adv / MW / Particle / Phrase / V
pos | 我們去喝下午茶 (easy) | 你 → N | Adj / Adv / V
pos | 我們去喝下午茶 (easy) | 做 → V | MW / N / Particle / Phrase
pos | 我們去喝下午茶 (easy) | 兩點半 → MW | Adv / N / Particle / Phrase / V
pos | 我們去喝下午茶 (easy) | 冰淇淋 → N | Adj / Adv / Particle / Phrase / V
pos | 我們去喝下午茶 (easy) | 去 → V | Adj / MW / N / Phrase
pos | 我們去喝下午茶 (easy) | 友美 → N | Adj / MW / Particle / V
pos | 我們去喝下午茶 (easy) | 咖啡廳 → N | Adv / MW / Particle / Phrase
pos | 我們去喝下午茶 (easy) | 哪裡 → N | Adj / Adv / MW / Phrase / V
pos | 我們去喝下午茶 (easy) | 啊 → Particle | N / Phrase / V
pos | 我們去喝下午茶 (easy) | 喝 → V | Adj / Adv / Particle
pos | 我們去喝下午茶 (easy) | 在 → Particle | Adj / Adv / MW / N / Phrase / V
pos | 我們去喝下午茶 (easy) | 好吃 → Adj | Adv / MW / N / Particle / Phrase / V
pos | 我們去喝下午茶 (easy) | 好啊 → Phrase | Adv / MW / N / Particle / V
pos | 我們去喝下午茶 (easy) | 家 → N | Adj / Adv / MW / Particle / Phrase / V
pos | 我們去喝下午茶 (easy) | 巧克力 → N | Adj / Adv / MW / Particle / Phrase
pos | 我們去喝下午茶 (easy) | 很多 → Adj | Adv / MW / N / Particle / Phrase / V
pos | 我們去喝下午茶 (easy) | 想 → V | Adj / Adv / MW / N / Particle / Phrase
pos | 我們去喝下午茶 (easy) | 我 → N | Adj / Adv / MW / Particle / Phrase
pos | 我們去喝下午茶 (easy) | 星期六 → N | Adj / MW / Phrase / V
pos | 我們去喝下午茶 (easy) | 有 → V | Adj / Adv / MW / N / Particle / Phrase
pos | 我們去喝下午茶 (easy) | 有空 → Phrase | Adv / N / Particle
pos | 我們去喝下午茶 (easy) | 看書 → V | Adj / Adv / MW / N / Particle / Phrase
pos | 我們去喝下午茶 (easy) | 知道 → V | Adj / Adv / MW / N / Particle / Phrase
pos | 我們去喝下午茶 (easy) | 種 → MW | Adj / Adv / N / Particle / Phrase
pos | 我們去喝下午茶 (easy) | 聽音樂 → V | Adj / Adv / N / Particle / Phrase
pos | 我們去喝下午茶 (easy) | 要 → V | Adj / Adv / MW / Particle / Phrase
pos | 我們去士林夜市 (easy) | 一起 → Adv | Adj / N / V
pos | 我們去士林夜市 (easy) | 你 → N | Adj / Adv / V
pos | 我們去士林夜市 (easy) | 佳玲 → N | Adj / Adv / V
pos | 我們去士林夜市 (easy) | 做 → V | Adj / Adv / N
pos | 我們去士林夜市 (easy) | 六點 → N | Adj / Adv / V
pos | 我們去士林夜市 (easy) | 出去 → V | Adj / Adv / N
pos | 我們去士林夜市 (easy) | 士林夜市 → N | Adj / Adv / V
pos | 我們去士林夜市 (easy) | 太好了 → Adj | Adv / N / V
pos | 我們去士林夜市 (easy) | 好 → Adj | Adv / N / V
pos | 我們去士林夜市 (easy) | 好吃 → Adj | Adv / N / V
pos | 我們去士林夜市 (easy) | 家 → N | Adj / Adv / V
pos | 我們去士林夜市 (easy) | 志豪 → N | Adj / Adv / V
pos | 我們去士林夜市 (easy) | 我 → N | Adj / Adv / V
pos | 我們去士林夜市 (easy) | 找 → V | Adj / Adv / N
pos | 我們去士林夜市 (easy) | 捷運站 → N | Adj / Adv / V
pos | 我們去士林夜市 (easy) | 星期五 → N | Adj / Adv / V
pos | 我們去士林夜市 (easy) | 星期六 → N | Adj / Adv / V
pos | 我們去士林夜市 (easy) | 晚上 → N | Adj / Adv / V
pos | 我們去士林夜市 (easy) | 有 → V | Adj / Adv / N
pos | 我們去士林夜市 (easy) | 沒事 → Adj | Adv / N / V
pos | 我們去士林夜市 (easy) | 見 → V | Adj / Adv / N
pos | 我們去士林夜市 (easy) | 雞排 → N | Adj / Adv / V
pos | 我們去士林夜市 (hard) | 一起 → Adv | Adj / MW / N / Particle / Phrase / V
pos | 我們去士林夜市 (hard) | 不錯 → Adj | Adv / N / Particle / Phrase / V
pos | 我們去士林夜市 (hard) | 佳玲 → N | Adj / Adv / MW / Particle / Phrase / V
pos | 我們去士林夜市 (hard) | 出去 → V | Adv / MW / N / Particle / Phrase
pos | 我們去士林夜市 (hard) | 出發 → V | Adj / Adv / MW / N / Particle
pos | 我們去士林夜市 (hard) | 剛好 → Adv | Adj / MW / N / Particle / Phrase / V
pos | 我們去士林夜市 (hard) | 去 → V | Adj / Adv / MW / N / Particle / Phrase
pos | 我們去士林夜市 (hard) | 喝 → V | Adj / Adv / MW / N / Particle / Phrase
pos | 我們去士林夜市 (hard) | 士林夜市 → N | Adj / Adv / MW / Particle / V
pos | 我們去士林夜市 (hard) | 好久 → Adv | Adj / MW / N / Particle / Phrase / V
pos | 我們去士林夜市 (hard) | 好吃 → Adj | Adv / MW / N / Particle / Phrase / V
pos | 我們去士林夜市 (hard) | 工作 → N | Adj / Adv / MW / Particle / Phrase / V
pos | 我們去士林夜市 (hard) | 幾個 → MW | Adv / N / Particle / Phrase / V
pos | 我們去士林夜市 (hard) | 捷運站 → N | Adj / MW / Particle / Phrase / V
pos | 我們去士林夜市 (hard) | 放鬆 → V | Adj / Adv / MW / N / Phrase
pos | 我們去士林夜市 (hard) | 星期 → N | Adj / Adv / MW / Particle / Phrase / V
pos | 我們去士林夜市 (hard) | 星期五 → N | Adj / Adv / MW / Particle / Phrase / V
pos | 我們去士林夜市 (hard) | 星期六 → N | Adj / Adv / MW / Particle / V
pos | 我們去士林夜市 (hard) | 晚上 → N | Adv / MW / Particle / Phrase / V
pos | 我們去士林夜市 (hard) | 有空 → V | Adj / Adv / MW / N / Particle / Phrase
pos | 我們去士林夜市 (hard) | 比 → Particle | Adj / Adv / MW / N / Phrase / V
pos | 我們去士林夜市 (hard) | 滑手機 → V | Adj / Adv / MW / N / Particle / Phrase
pos | 我們去士林夜市 (hard) | 珍珠奶茶 → N | Adj / Adv / MW / Particle / Phrase / V
pos | 我們去士林夜市 (hard) | 突然 → Adv | Adj / MW / N / Particle / Phrase / V
pos | 我們去士林夜市 (hard) | 累 → Adj | Adv / MW / N / Particle / Phrase / V
pos | 我們去士林夜市 (hard) | 聽起來 → Phrase | Adj / Adv / MW / N / Particle / V
pos | 我們去士林夜市 (hard) | 見面 → V | Adj / Adv / MW / Particle / Phrase
pos | 我們去士林夜市 (hard) | 這個 → Particle | Adj / Adv / MW / N / Phrase / V
pos | 我們去士林夜市 (hard) | 門口 → N | Adj / Adv / MW / Particle / Phrase / V
pos | 我們去士林夜市 (hard) | 雞排 → N | Adj / Adv / MW / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 一起 → Adv | Adj / N / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 了 → Particle | Adj / N / Phrase / V
pos | 我們去士林夜市 (medium) | 佳玲 → N | Adj / Adv / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 做 → V | Adj / Adv / N / Particle
pos | 我們去士林夜市 (medium) | 六點 → N | Adj / Adv / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 出去 → V | Adj / Adv / N / Particle / Phrase
pos | 我們去士林夜市 (medium) | 可 → Particle | Adj / Adv / N / Phrase / V
pos | 我們去士林夜市 (medium) | 士林夜市 → N | Adj / Adv / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 好不好 → Phrase | Adj / Adv / N / Particle / V
pos | 我們去士林夜市 (medium) | 好吃 → Adj | Adv / N / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 好啊 → Phrase | Adj / Adv / N / Particle / V
pos | 我們去士林夜市 (medium) | 家 → N | Adj / Adv / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 志豪 → N | Adj / Adv / Particle
pos | 我們去士林夜市 (medium) | 怎麼 → Adv | Adj / N / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 我們 → N | Adj / Adv / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 找 → V | Adj / Adv / N / Particle / Phrase
pos | 我們去士林夜市 (medium) | 捷運站 → N | Adj / Adv / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 星期五 → N | Adj / Adv / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 星期六 → N | Adj / Adv / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 晚上 → N | Adj / Adv / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 更 → Adv | Adj / N / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 有一家 → Phrase | Adj / Adv / N / Particle / V
pos | 我們去士林夜市 (medium) | 特別 → Adj | Adv / N / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 玩 → V | Adj / Adv / N / Particle / Phrase
pos | 我們去士林夜市 (medium) | 珍珠奶茶 → N | Adj / Adv / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 當然 → Adv | Adj / N / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 計畫 → N | Adj / Adv / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 這個 → Particle | Adj / Adv / N / Phrase
pos | 我們去士林夜市 (medium) | 週末 → N | Adj / Adv / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 那裡 → N | Adj / Adv / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 門口 → N | Adj / Adv / Particle / Phrase / V
pos | 我們去士林夜市 (medium) | 雞排 → N | Adj / Adv / Particle / Phrase / V
pos | 我的房間和我的貓 (easy) | 下午 → N | Adj / MW / V
pos | 我的房間和我的貓 (easy) | 中明 → N | Adj / MW / V
pos | 我的房間和我的貓 (easy) | 今天 → N | Adj / MW / V
pos | 我的房間和我的貓 (easy) | 你的 → MW | Adj / N / V
pos | 我的房間和我的貓 (easy) | 來 → V | Adj / MW / N
pos | 我的房間和我的貓 (easy) | 友美 → N | Adj / MW / V
pos | 我的房間和我的貓 (easy) | 可愛 → Adj | MW / N / V
pos | 我的房間和我的貓 (easy) | 喜歡 → V | Adj / MW / N
pos | 我的房間和我的貓 (easy) | 好多 → Adj | MW / N / V
pos | 我的房間和我的貓 (easy) | 帶 → V | Adj / MW / N
pos | 我的房間和我的貓 (easy) | 房間 → N | Adj / MW / V
pos | 我的房間和我的貓 (easy) | 旁邊 → N | Adj / MW / V
pos | 我的房間和我的貓 (easy) | 曬太陽 → V | Adj / MW / N
pos | 我的房間和我的貓 (easy) | 書 → N | Adj / MW / V
pos | 我的房間和我的貓 (easy) | 桌子 → N | Adj / MW / V
pos | 我的房間和我的貓 (easy) | 橘子 → N | Adj / MW / V
pos | 我的房間和我的貓 (easy) | 沙發 → N | Adj / MW / V
pos | 我的房間和我的貓 (easy) | 看 → V | Adj / MW / N
pos | 我的房間和我的貓 (easy) | 睡覺 → V | Adj / MW / N
pos | 我的房間和我的貓 (easy) | 窗戶 → N | Adj / MW / V
pos | 我的房間和我的貓 (easy) | 貓 → N | Adj / MW / V
pos | 我的錢包在哪裡? (easy) | 一起 → Adv | Adj / N / Phrase
pos | 我的錢包在哪裡? (easy) | 下午 → N | Adj / Adv / V
pos | 我的錢包在哪裡? (easy) | 下午茶 → N | Adj / Adv / Phrase / V
pos | 我的錢包在哪裡? (easy) | 冰淇淋 → N | Adj / Adv / Phrase / V
pos | 我的錢包在哪裡? (easy) | 友美 → N | Adj / Adv / Phrase / V
pos | 我的錢包在哪裡? (easy) | 口味 → N | Adj / Adv / Phrase / V
pos | 我的錢包在哪裡? (easy) | 咖啡廳 → N | Adj / Adv / Phrase / V
pos | 我的錢包在哪裡? (easy) | 問 → V | Adj / Adv / N / Phrase
pos | 我的錢包在哪裡? (easy) | 喝 → V | Adj / Adv / N
pos | 我的錢包在哪裡? (easy) | 在家 → Phrase | Adj / Adv / N / V
pos | 我的錢包在哪裡? (easy) | 巧克力 → N | Adj / Adv / Phrase / V
pos | 我的錢包在哪裡? (easy) | 星期六 → N | Adj / Adv / Phrase / V
pos | 我的錢包在哪裡? (easy) | 朋友 → N | Adj / Adv / Phrase / V
pos | 我的錢包在哪裡? (easy) | 決定 → V | Adj / Adv / N / Phrase
pos | 我的錢包在哪裡? (easy) | 看書 → V | Adj / N / Phrase
pos | 我的錢包在哪裡? (easy) | 聽音樂 → V | Adj / Adv / N / Phrase
pos | 我的錢包在哪裡? (easy) | 要 → V | Adj / Adv / N / Phrase
pos | 我的錢包在哪裡? (easy) | 說 → V | Adj / Adv / Phrase
pos | 我的錢包在哪裡? (easy) | 週末 → N | Adj / Adv / Phrase / V
pos | 我的錢包在哪裡? (easy) | 邀請 → V | Adj / Adv / N / Phrase
pos | 我的錢包在哪裡? (easy) | 高興 → Adj | Adv / N / Phrase / V
pos | 捷運站在哪裡？ (easy) | 不知道 → V | Adj / N / Other / Particle / Phrase
pos | 捷運站在哪裡？ (easy) | 不遠 → Adv | N / Other / Particle / Phrase / V
pos | 捷運站在哪裡？ (easy) | 去 → V | Adj / Adv / N / Other / Particle
pos | 捷運站在哪裡？ (easy) | 嗎 → Particle | Adj / Adv / Other / Phrase / V
pos | 捷運站在哪裡？ (easy) | 婉婷 → N | Adj / Adv / Other
pos | 捷運站在哪裡？ (easy) | 學校 → N | Adj / Adv / Other / Particle / Phrase
pos | 捷運站在哪裡？ (easy) | 很近 → Adv | Adj / N / Other / Particle / Phrase / V
pos | 捷運站在哪裡？ (easy) | 承翰 → N | Adj / Adv / Other / Particle / Phrase / V
